phoneTimestamp,duration
1711718034619,687
1711718035305,695
1711718036001,717
1711718036718,697
1711718037415,701
1711718038116,720
1711718038836,745
1711718039581,751
1711718040332,732
1711718041064,709
1711718041773,719
1711718042492,725
1711718043217,735
1711718043952,705
1711718044657,705
1711718045361,716
1711718046078,742
1711718046820,732
1711718047552,741
1711718048293,750
1711718049043,725
1711718049768,732
1711718050500,747
1711718051247,764
1711718052011,760
1711718052771,728
1711718053499,740
1711718054239,739
1711718054977,725
1711718055703,688
1711718056391,696
1711718057087,693
1711718057780,707
1711718058487,710
1711718059197,696
1711718059893,714
1711718060607,729
1711718061336,749
1711718062085,724
1711718062809,716
1711718063525,727
1711718064252,735
1711718064987,733
1711718065720,701
1711718066421,711
1711718067132,726
1711718067857,740
1711718068598,727
1711718069325,705
1711718070030,710
1711718070740,722
1711718071462,726
1711718072188,699
1711718072887,706
1711718073593,699
1711718074292,697
1711718074989,697
1711718075686,668
1711718076353,673
1711718077027,668
1711718077695,662
1711718078357,647
1711718079004,646
1711718079649,652
1711718080302,644
1711718080945,658
1711718081604,668
1711718082272,686
1711718082958,688
1711718083646,702
1711718084348,718
1711718085065,692
1711718085758,692
1711718086449,689
1711718087139,696
1711718087835,700
1711718088535,681
1711718089216,680
1711718089896,684
1711718090580,670
1711718091249,627
1711718091877,653
1711718092529,656
1711718093185,666
1711718093852,666
1711718094518,655
1711718095173,639
1711718095812,642
1711718096454,639
1711718097093,637
1711718097729,628
1711718098358,616
1711718098974,626
1711718099600,634
1711718100233,636
1711718100870,631
1711718101501,632
1711718102133,650
1711718102783,668
1711718103451,699
1711718104150,724
1711718104873,695
1711718105569,698
1711718106267,678
1711718106945,698
1711718107643,684
1711718108327,658
1711718108985,646
1711718109631,642
1711718110273,634
1711718110907,623
1711718111529,624
1711718112153,622
1711718112776,638
1711718113414,651
1711718114065,669
1711718114734,668
1711718115401,692
1711718116094,721
1711718116815,756
1711718117571,712
1711718118283,718
1711718119001,709
1711718119710,730
1711718120440,729
1711718121169,729
1711718121897,689
1711718122587,687
1711718123273,676
1711718123950,683
1711718124633,686
1711718125319,686
1711718126005,675
1711718126680,668
1711718127348,681
1711718128029,707
1711718128736,734
1711718129470,744
1711718130214,730
1711718130944,750
1711718131694,744
1711718132438,750
1711718133188,734
1711718133921,743
1711718134665,736
1711718135401,726
1711718136127,712
1711718136839,695
1711718137534,694
1711718138228,701
1711718138929,717
1711718139646,711
1711718140357,698
1711718141055,707
1711718141761,708
1711718142470,729
1711718143199,735
1711718143934,719
1711718144653,736
1711718145389,735
1711718146124,741
1711718146865,757
1711718147622,731
1711718148353,720
1711718149073,728
1711718149801,730
1711718150531,733
1711718151264,737
1711718152001,717
1711718152718,724
1711718153441,693
1711718154135,708
1711718154843,725
1711718155568,734
1711718156302,726
1711718157028,730
1711718157758,743
1711718158501,750
1711718159251,774
1711718160025,741
1711718160766,739
1711718161505,738
1711718162243,742
1711718162985,735
1711718163720,712
1711718164432,708
1711718165140,710
1711718165849,720
1711718166569,731
1711718167301,736
1711718168037,725
1711718168761,724
1711718169486,742
1711718170228,760
1711718170988,767
1711718171755,754
1711718172509,729
1711718173238,721
1711718173959,715
1711718174673,715
1711718175389,709
1711718176097,694
1711718176792,699
1711718177491,705
1711718178196,718
1711718178913,729
1711718179643,723
1711718180366,723
1711718181089,733
1711718181822,751
1711718182573,760
1711718183333,740
1711718184073,725
1711718184798,729
1711718185527,724
1711718186251,719
1711718186969,707
1711718187677,689
1711718188366,706
1711718189072,719
1711718189791,733
1711718190524,758
1711718191281,762
1711718192044,737
1711718192781,748
1711718193529,737
1711718194265,739
1711718195005,737
1711718195742,718
1711718196460,717
1711718197177,721
1711718197897,725
1711718198623,735
1711718199358,723
1711718200081,704
1711718200785,721
1711718201505,722
1711718202228,721
1711718202949,700
1711718203649,690
1711718204339,693
1711718205032,694
1711718205726,693
1711718206419,678
1711718207097,680
1711718207777,683
1711718208460,693
1711718209153,693
1711718209846,681
1711718210527,688
1711718211215,692
1711718211907,702
1711718212609,709
1711718213318,689
1711718214007,696
1711718214703,705
1711718215408,711
1711718216119,711
1711718216830,686
1711718217516,692
1711718218208,701
1711718218909,702
1711718219611,701
1711718220312,684
1711718220996,674
1711718221670,676
1711718222345,677
1711718223023,677
1711718223700,672
1711718224372,667
1711718225039,672
1711718225711,682
1711718226393,693
1711718227086,707
1711718227793,691
1711718228484,706
1711718229190,718
1711718229908,724
1711718230632,724
1711718231356,694
1711718232049,686
1711718232736,680
1711718233416,669
1711718234085,662
1711718234747,651
1711718235398,643
1711718236041,646
1711718236687,646
1711718237333,658
1711718237991,682
1711718238673,671
1711718239344,671
1711718240015,688
1711718240703,700
1711718241403,723
1711718242126,705
1711718242831,687
1711718243518,688
1711718244206,688
1711718244894,688
1711718245582,677
1711718246259,668
1711718246927,668
1711718247595,666
1711718248261,667
1711718248928,680
1711718249608,670
1711718250278,670
1711718250948,674
1711718251622,689
1711718252311,701
1711718253012,689
1711718253701,694
1711718254395,709
1711718255104,727
1711718255831,738
1711718256569,724
1711718257293,718
1711718258011,712
1711718258723,718
1711718259441,711
1711718260152,700
1711718260852,683
1711718261535,688
1711718262223,686
1711718262909,691
1711718263600,701
1711718264301,689
1711718264990,694
1711718265684,706
1711718266390,706
1711718267096,718
1711718267814,713
1711718268527,691
1711718269217,694
1711718269912,690
1711718270601,687
1711718271289,686
1711718271975,671
1711718272646,669
1711718273315,677
1711718273992,691
1711718274683,710
1711718275393,699
1711718276092,701
1711718276793,721
1711718277513,720
1711718278233,722
1711718278956,722
1711718279678,702
1711718280380,692
1711718281072,688
1711718281760,680
1711718282440,683
1711718283123,689
1711718283812,688
1711718284500,695
1711718285195,687
1711718285881,672
1711718286553,665
1711718287219,664
1711718287883,657
1711718288540,660
1711718289200,658
1711718289857,657
1711718290515,661
1711718291176,678
1711718291854,671
1711718292525,663
1711718293188,659
1711718293847,655
1711718294502,644
1711718295145,634
1711718295780,623
1711718296403,608
1711718297011,601
1711718297612,604
1711718298216,609
1711718298825,627
1711718299452,648
1711718300100,647
1711718300747,651
1711718301398,667
1711718302065,702
1711718302767,715
1711718303481,707
1711718304189,723
1711718304912,748
1711718305660,756
1711718306416,738
1711718307153,710
1711718307864,695
1711718308559,696
1711718309255,697
1711718309952,690
1711718310641,693
1711718311335,673
1711718312008,669
1711718312677,672
1711718313349,680
1711718314029,694
1711718314723,722
1711718315445,709
1711718316153,697
1711718316851,707
1711718317558,711
1711718318269,725
1711718318993,740
1711718319734,717
1711718320451,707
1711718321158,706
1711718321864,718
1711718322582,728
1711718323310,721
1711718324031,699
1711718324729,707
1711718325437,712
1711718326149,723
1711718326872,743
1711718327615,731
1711718328345,746
1711718329092,759
1711718329851,765
1711718330616,777
1711718331393,754
1711718332147,765
1711718332912,757
1711718333669,761
1711718334430,735
1711718335165,750
1711718335915,748
1711718336663,751
1711718337414,737
1711718338151,731
1711718338881,749
1711718339631,758
1711718340389,755
1711718341144,736
1711718341880,730
1711718342609,748
1711718343358,751
1711718344109,742
1711718344851,717
1711718345568,718
1711718346286,714
1711718347000,711
1711718347711,701
1711718348412,685
1711718349097,688
1711718349785,694
1711718350479,704
1711718351183,718
1711718351901,704
1711718352605,705
1711718353310,725
1711718354035,728
1711718354763,729
1711718355492,703
1711718356195,702
1711718356897,704
1711718357601,705
1711718358305,698
1711718359004,682
1711718359686,690
1711718360376,693
1711718361069,712
1711718361781,711
1711718362492,690
1711718363182,697
1711718363879,705
1711718364584,710
1711718365294,704
1711718365998,687
1711718366685,690
1711718367375,691
1711718368065,694
1711718368760,702
1711718369462,684
1711718370145,683
1711718370829,685
1711718371513,684
1711718372198,690
1711718372888,692
1711718373580,684
1711718374264,693
1711718374957,691
1711718375648,691
1711718376339,679
1711718377017,672
1711718377689,677
1711718378367,681
1711718379048,683
1711718379731,686
1711718380417,671
1711718381088,678
1711718381766,691
1711718382457,727
1711718383184,744
1711718383928,726
1711718384654,718
1711718385372,728
1711718386100,724
1711718386824,716
1711718387540,699
1711718388239,680
1711718388919,681
1711718389600,679
1711718390279,681
1711718390960,683
1711718391643,667
1711718392310,670
1711718392980,677
1711718393657,685
1711718394342,708
1711718395049,712
1711718395761,690
1711718396452,701
1711718397153,713
1711718397865,729
1711718398595,725
1711718399320,696
1711718400016,700
1711718400716,700
1711718401416,699
1711718402115,691
1711718402806,677
1711718403483,685
1711718404168,679
1711718404847,676
1711718405523,672
1711718406195,655
1711718406849,656
1711718407505,665
1711718408171,671
1711718408841,676
1711718409518,686
1711718410204,684
1711718410888,671
1711718411559,675
1711718412233,681
1711718412915,692
1711718413607,689
1711718414296,684
1711718414980,685
1711718415665,678
1711718416343,669
1711718417012,652
1711718417664,652
1711718418316,647
1711718418963,652
1711718419615,666
1711718420281,682
1711718420963,674
1711718421637,668
1711718422305,670
1711718422975,686
1711718423661,707
1711718424368,719
1711718425087,700
1711718425787,713
1711718426500,715
1711718427215,719
1711718427934,708
1711718428641,687
1711718429329,687
1711718430016,680
1711718430696,684
1711718431380,688
1711718432068,681
1711718432749,674
1711718433423,678
1711718434101,688
1711718434789,692
1711718435481,691
1711718436172,688
1711718436860,687
1711718437547,694
1711718438241,693
1711718438934,704
1711718439638,700
1711718440337,688
1711718441025,688
1711718441713,687
1711718442401,690
1711718443091,696
1711718443787,700
1711718444487,713
1711718445200,710
1711718445910,709
1711718446619,707
1711718447326,699
1711718448025,692
1711718448717,695
1711718449412,693
1711718450105,689
1711718450793,695
1711718451489,684
1711718452173,683
1711718452856,690
1711718453545,686
1711718454232,695
1711718454927,702
1711718455629,692
1711718456321,707
1711718457028,705
1711718457733,711
1711718458444,705
1711718459149,691
1711718459840,692
1711718460532,687
1711718461219,688
1711718461907,681
1711718462588,669
1711718463257,675
1711718463932,676
1711718464608,685
1711718465293,697
1711718465990,683
1711718466673,688
