phoneTimestamp,hr,hrv
1712846316287,107,
1712846317288,107,
1712846318313,107,7.1
1712846319288,107,6.4
1712846320312,105,6.4
1712846321293,104,7.8
1712846322315,100,13.8
1712846323287,97,13.8
1712846324312,95,12.7
1712846325286,95,12.9
1712846326311,97,14.0
1712846327331,99,14.3
1712846328309,102,14.4
1712846329335,103,14.0
1712846330305,103,14.9
1712846331280,102,14.3
1712846332304,101,13.8
1712846333278,100,13.5
1712846334335,100,13.2
1712846335277,102,13.7
1712846336303,103,13.6
1712846337281,103,13.5
1712846338300,103,13.3
1712846339277,102,11.6
1712846340300,102,11.3
1712846341374,102,11.3
1712846342352,102,10.6
1712846343321,101,9.6
1712846344347,101,8.5
1712846345325,101,7.5
1712846346296,101,7.5
1712846347321,101,4.9
1712846348295,101,5.0
1712846349319,102,4.9
1712846350295,102,4.9
1712846351320,102,4.7
1712846352292,102,2.7
1712846353315,102,2.8
1712846354291,102,3.0
1712846355317,103,3.4
1712846356289,105,2.5
1712846357315,105,2.5
1712846358339,105,2.5
1712846359315,104,2.6
1712846360339,105,2.9
1712846361313,105,2.9
1712846362286,106,2.9
1712846363311,107,3.3
1712846364285,107,3.8
1712846365309,106,3.8
1712846366333,107,4.0
1712846367358,107,4.0
1712846368281,109,4.3
1712846369305,109,4.3
1712846370284,109,4.2
1712846371305,109,3.9
1712846372279,109,4.0
1712846373308,109,4.1
1712846374331,108,4.3
1712846375357,108,4.2
1712846376276,108,4.2
1712846377302,107,4.1
1712846378277,105,5.5
1712846379353,104,5.3
1712846380324,103,5.3
1712846381299,103,4.9
1712846382323,104,5.3
1712846383350,103,5.2
1712846384321,102,5.4
1712846385296,100,8.3
1712846386375,98,8.3
1712846387297,97,8.3
1712846388320,98,8.8
1712846389294,98,8.7
1712846390320,99,8.8
1712846391342,99,8.8
1712846392318,99,8.8
1712846393292,99,8.8
1712846394316,98,9.1
1712846395292,97,9.1
1712846396319,95,9.1
1712846397288,94,9.1
1712846398313,95,9.6
1712846399287,96,10.0
1712846400313,97,9.7
1712846401286,97,9.7
1712846402311,96,11.2
1712846403288,94,9.3
1712846404457,94,10.2
1712846405296,92,10.3
1712846406308,91,10.6
1712846407281,89,10.2
1712846408357,89,10.2
1712846409281,89,10.2
1712846410305,88,10.0
1712846411334,87,10.4
1712846412356,87,11.8
1712846413284,85,11.6
1712846414302,84,11.6
1712846415277,84,13.2
1712846416356,85,13.2
1712846417277,85,13.2
1712846418301,85,12.9
1712846419281,85,12.7
1712846420300,85,13.2
1712846421275,85,13.2
1712846422297,85,12.1
1712846423371,85,12.2
1712846424297,85,11.9
1712846425323,84,11.3
1712846426299,84,11.3
1712846427323,84,12.2
1712846428294,85,12.5
1712846429319,86,12.6
1712846430296,87,12.6
1712846431318,86,15.1
1712846432292,85,18.1
1712846433315,83,17.9
1712846434291,82,17.9
1712846435315,81,17.9
1712846436289,81,17.9
1712846437324,80,17.1
1712846438390,80,17.2
1712846439313,80,17.2
1712846440295,80,17.2
1712846441417,79,18.0
1712846442337,78,18.1
1712846443312,78,18.1
1712846444285,77,18.2
1712846445310,76,18.2
1712846446284,76,18.3
1712846447307,76,18.8
1712846448281,76,18.8
1712846449309,76,18.7
1712846450281,76,18.0
1712846451356,76,18.1
1712846452281,76,18.1
1712846453305,76,18.1
1712846454283,77,19.6
1712846455304,79,16.1
1712846456280,79,16.1
1712846457302,79,16.4
1712846458276,79,17.0
1712846459302,79,17.0
1712846460325,79,16.2
1712846461350,79,16.3
1712846462275,79,16.6
1712846463351,79,15.6
1712846464280,80,15.4
1712846465296,80,15.4
1712846466321,80,16.3
1712846467295,79,16.6
1712846468319,78,18.2
1712846469342,77,17.6
1712846470318,77,17.5
1712846471297,77,18.4
1712846472317,76,18.4
1712846473293,76,18.1
1712846474319,76,18.1
1712846475340,76,18.1
1712846476318,76,14.4
1712846477288,76,14.1
1712846478313,76,14.4
1712846479287,77,14.9
1712846480313,77,14.2
1712846481289,77,15.0
1712846482312,77,15.0
1712846483286,77,15.8
1712846484310,76,15.8
1712846485284,76,15.5
1712846486311,76,15.4
1712846487286,76,15.2
1712846488363,76,15.2
1712846489384,76,14.2
1712846490356,76,14.1
1712846491281,76,11.7
1712846492304,76,11.7
1712846493278,77,11.8
1712846494305,76,12.4
1712846495277,76,12.4
1712846496304,77,12.7
1712846497286,77,13.0
1712846498301,78,13.4
1712846499328,78,13.3
1712846500301,78,13.3
1712846501275,78,13.1
1712846502297,78,13.9
1712846503273,77,13.9
1712846504297,77,14.3
1712846505320,77,15.5
1712846506296,76,15.9
1712846507374,75,15.9
1712846508343,75,15.8
1712846509318,75,15.9
1712846510345,75,16.4
1712846511368,75,17.4
1712846512294,75,17.3
1712846513316,75,17.1
1712846514292,75,17.6
1712846515315,75,17.7
1712846516295,75,17.7
1712846517315,76,18.3
1712846518337,76,18.6
1712846519317,77,18.5
1712846520287,78,18.3
1712846521311,78,18.1
1712846522288,79,18.0
1712846523361,79,19.3
1712846524291,79,19.3
1712846525311,79,18.1
1712846526284,78,17.1
1712846527309,78,17.0
1712846528333,79,17.0
1712846529357,80,15.8
1712846530281,80,15.8
1712846531305,79,17.6
1712846532380,79,18.1
1712846533304,78,16.7
1712846534278,78,16.8
1712846535305,77,16.8
1712846536277,77,17.0
1712846537303,77,16.6
1712846538276,76,16.6
1712846539301,76,16.9
1712846540280,76,15.0
1712846541299,76,16.5
1712846542321,75,16.6
1712846543302,75,16.5
1712846544272,75,16.5
1712846545300,76,17.1
1712846546276,76,15.7
1712846547295,76,15.7
1712846548320,76,15.7
1712846549296,77,17.9
1712846550326,78,17.2
1712846551345,79,17.3
1712846552318,79,17.2
1712846553293,80,17.2
1712846554316,79,16.9
1712846555289,79,16.9
1712846556366,79,17.3
1712846557289,78,17.5
1712846558315,78,17.4
1712846559291,78,17.3
1712846560313,78,17.3
1712846561289,79,17.3
1712846562311,79,17.0
1712846563286,79,15.6
1712846564310,80,15.9
1712846565288,81,15.8
1712846566309,82,15.6
1712846567285,83,15.5
1712846568305,83,15.4
1712846569281,84,15.4
1712846570305,85,14.7
1712846571281,87,14.4
1712846572307,87,14.4
1712846573278,87,14.6
1712846574305,87,12.3
