phoneTimestamp,sensorTimestamp,ecg
1712258505640,599616047848932744,927
1712258505647,599616047856597430,963
1712258505655,599616047864262116,998
1712258505662,599616047871926802,993
1712258505670,599616047879591488,966
1712258505678,599616047887256174,950
1712258505685,599616047894920860,973
1712258505693,599616047902585546,1021
1712258505701,599616047910250232,1048
1712258505708,599616047917914918,1051
1712258505716,599616047925579604,1044
1712258505724,599616047933244290,998
1712258505731,599616047940908976,963
1712258505739,599616047948573662,1009
1712258505747,599616047956238348,1060
1712258505753,599616047963903034,1046
1712258505761,599616047971567720,1048
1712258505769,599616047979232406,1090
1712258505777,599616047986897092,1113
1712258505785,599616047994561778,1119
1712258505793,599616048002226464,1124
1712258505800,599616048009891150,1076
1712258505808,599616048017555836,1007
1712258505816,599616048025220522,1007
1712258505823,599616048032885208,1016
1712258505831,599616048040549894,993
1712258505839,599616048048214580,982
1712258505846,599616048055879266,945
1712258505854,599616048063543952,878
1712258505862,599616048071208638,872
1712258505869,599616048078873324,911
1712258505877,599616048086538010,924
1712258505885,599616048094202696,913
1712258505892,599616048101867382,867
1712258505900,599616048109532068,787
1712258505908,599616048117196754,771
1712258505915,599616048124861440,830
1712258505923,599616048132526126,862
1712258505931,599616048140190812,858
1712258505937,599616048147855498,846
1712258505945,599616048155520184,805
1712258505953,599616048163184870,759
1712258505961,599616048170849556,745
1712258505969,599616048178514242,702
1712258505977,599616048186178928,637
1712258505984,599616048193843614,633
1712258505992,599616048201508300,642
1712258506000,599616048209172986,626
1712258506007,599616048216837672,647
1712258506015,599616048224502358,690
1712258506023,599616048232167044,704
1712258506030,599616048239831730,693
1712258506038,599616048247496416,699
1712258506046,599616048255161102,706
1712258506053,599616048262825788,709
1712258506061,599616048270490474,743
1712258506069,599616048278155160,780
1712258506076,599616048285819846,782
1712258506084,599616048293484532,794
1712258506092,599616048301149218,819
1712258506099,599616048308813904,803
1712258506107,599616048316478590,734
1712258506115,599616048324143276,658
1712258506121,599616048331807962,674
1712258506129,599616048339472648,741
1712258506137,599616048347137334,759
1712258506145,599616048354802020,755
1712258506153,599616048362466706,784
1712258506161,599616048370131392,828
1712258506168,599616048377796078,839
1712258506176,599616048385460764,853
1712258506184,599616048393125450,895
1712258506191,599616048400790136,917
1712258506199,599616048408454842,945
1712258506207,599616048416119528,1039
1712258506214,599616048423784214,1131
1712258506222,599616048431448900,1149
1712258506230,599616048439113586,1115
1712258506237,599616048446778272,982
1712258506245,599616048454442958,892
1712258506253,599616048462107644,995
1712258506260,599616048469772330,1064
1712258506268,599616048477437016,1046
1712258506276,599616048485101702,1110
1712258506283,599616048492766388,1154
1712258506291,599616048500431074,1078
1712258506299,599616048508095760,1041
1712258506305,599616048515760446,1106
1712258506313,599616048523425132,1145
1712258506321,599616048531089818,1170
1712258506329,599616048538754504,1230
1712258506337,599616048546419190,1248
1712258506345,599616048554083876,1236
1712258506352,599616048561748562,1273
1712258506360,599616048569413248,1337
1712258506368,599616048577077934,1402
1712258506375,599616048584742620,1464
1712258506383,599616048592407306,1482
1712258506391,599616048600071992,1464
1712258506398,599616048607736678,1468
1712258506406,599616048615401364,1507
1712258506414,599616048623066050,1551
1712258506421,599616048630730736,1594
1712258506429,599616048638395422,1636
1712258506437,599616048646060108,1643
1712258506444,599616048653724794,1627
1712258506452,599616048661389480,1645
1712258506460,599616048669054166,1656
1712258506467,599616048676718852,1606
1712258506475,599616048684383538,1601
1712258506483,599616048692048224,1624
1712258506489,599616048699712910,1565
1712258506497,599616048707377596,1530
1712258506505,599616048715042282,1574
1712258506513,599616048722706968,1606
1712258506521,599616048730371654,1622
1712258506529,599616048738036340,1638
1712258506536,599616048745701026,1613
1712258506544,599616048753365712,1604
1712258506552,599616048761030398,1666
1712258506559,599616048768695084,1732
1712258506567,599616048776359770,1778
