phoneTimestamp,hr,hrv
1712222010700,98,
1712222011718,97,
1712222012689,96,
1712222013715,95,2.0
1712222014696,97,15.3
1712222015725,99,14.1
1712222016691,101,13.3
1712222017713,102,12.7
1712222018692,103,11.9
1712222019728,103,11.5
1712222020694,102,11.1
1712222021721,101,10.6
1712222022694,101,10.3
1712222023717,101,9.9
1712222024696,102,9.6
1712222025715,102,9.4
1712222026689,102,9.2
1712222027719,103,8.9
1712222028694,103,8.8
1712222029715,103,8.8
1712222030691,103,8.8
1712222031712,103,8.4
1712222032689,102,4.7
1712222033759,101,4.3
1712222034681,100,3.9
1712222035713,100,3.9
1712222036688,100,4.0
1712222037709,101,3.7
1712222038679,101,3.5
1712222039705,101,3.5
1712222040731,102,3.5
1712222041707,103,3.1
1712222042875,103,3.1
1712222043753,104,3.6
1712222044680,104,4.1
1712222045756,104,4.1
1712222046729,105,4.1
1712222047703,105,4.1
1712222048673,106,4.1
1712222049699,106,4.1
1712222050680,106,43.1
1712222051700,107,65.1
1712222052723,107,75.5
1712222053701,106,75.5
1712222054718,104,75.5
1712222055691,104,75.5
1712222056719,103,75.5
1712222057696,103,75.5
1712222058716,104,75.5
1712222059749,105,75.5
1712222060720,105,75.5
1712222061693,106,75.5
1712222062713,107,75.5
1712222063687,107,75.5
1712222064713,107,75.6
1712222065695,105,75.6
1712222066764,104,75.6
1712222067694,102,62.3
1712222068716,101,38.7
1712222069736,100,5.7
1712222070713,99,5.9
1712222071745,98,6.0
1712222072713,98,6.0
1712222073687,97,6.0
1712222074708,97,6.0
1712222075796,95,6.1
1712222076852,95,6.6
1712222077689,93,6.6
1712222078707,92,6.7
1712222079681,92,6.7
1712222080712,91,6.4
1712222081680,91,6.5
1712222082707,91,6.6
1712222083725,90,5.7
1712222084707,89,5.4
1712222085727,89,5.0
1712222086702,88,4.9
1712222087676,88,5.3
1712222088703,89,5.2
1712222089725,89,5.5
1712222090701,90,5.6
1712222091717,91,5.6
1712222092705,91,5.6
1712222093720,91,5.5
1712222094697,91,5.3
1712222095815,92,4.6
1712222096696,91,4.6
1712222097724,91,5.3
1712222098696,90,5.2
1712222099766,90,5.2
1712222100743,90,5.2
1712222101712,89,5.0
1712222102789,89,5.0
1712222103716,90,5.1
1712222104795,90,4.8
1712222105716,89,4.8
1712222106689,89,5.2
1712222107768,89,5.1
1712222108934,88,5.3
1712222109855,87,5.4
1712222110887,86,5.4
1712222111765,85,5.4
1712222112745,85,6.4
1712222113712,85,6.5
1712222114687,85,6.4
1712222115713,86,6.4
1712222116689,86,7.3
1712222117709,87,6.7
1712222118686,88,6.8
1712222119711,88,6.8
1712222120737,88,6.8
1712222121804,88,7.3
1712222122921,87,7.8
1712222123744,87,7.8
1712222124681,86,8.0
1712222123313,86,8.3
1712222124286,86,8.1
1712222125310,85,8.7
1712222126335,85,8.5
1712222127312,85,8.1
1712222128333,85,8.1
1712222129315,85,8.1
1712222130388,86,8.1
1712222131358,86,8.1
1712222132333,86,8.1
1712222133305,87,8.1
1712222134333,87,7.3
1712222135305,87,7.3
1712222136334,88,7.6
1712222137359,88,7.6
1712222138335,88,7.5
1712222139305,88,7.1
1712222140334,88,6.6
1712222141308,88,6.5
1712222142327,89,6.1
1712222143408,88,6.0
1712222144334,88,4.6
1712222145312,88,4.6
1712222146329,88,4.6
1712222147353,88,4.6
1712222148374,89,5.6
1712222149353,89,4.2
1712222150337,89,4.2
1712222151305,89,4.2
1712222152327,89,4.8
1712222153305,89,4.8
1712222154326,89,5.6
1712222155299,90,5.1
1712222156328,90,5.1
1712222157300,90,5.1
1712222158327,90,5.2
1712222159349,90,5.2
1712222160469,90,5.2
1712222161345,90,5.2
1712222162318,91,5.4
1712222163296,91,5.5
1712222164520,92,5.5
1712222165293,92,5.6
1712222166324,92,5.7
1712222167296,91,4.8
1712222168319,90,4.9
1712222169294,90,5.1
1712222170321,90,5.2
1712222171387,90,5.3
1712222172318,89,4.9
1712222173333,89,5.0
1712222174313,89,4.2
1712222175333,88,4.2
1712222176311,88,4.3
1712222177337,88,4.3
1712222178310,88,4.2
1712222179385,88,4.3
1712222180313,88,4.3
1712222181331,87,4.2
1712222182310,87,4.1
1712222183332,86,4.8
1712222184365,86,4.9
1712222185433,86,4.7
1712222186303,85,4.7
1712222187328,86,7.8
1712222188309,87,8.2
1712222189321,88,8.2
1712222190305,90,8.6
1712222191332,90,8.6
1712222192304,91,9.1
1712222193323,90,10.4
1712222194305,89,10.7
1712222195326,88,11.9
1712222196303,86,12.2
1712222197325,85,12.2
1712222198353,85,12.4
1712222199326,84,12.5
1712222200348,85,12.9
1712222201319,85,13.1
1712222202299,86,13.2
1712222203323,86,12.9
1712222204302,87,12.8
1712222205323,87,12.8
1712222206294,87,12.9
1712222207317,87,11.4
1712222208301,87,11.1
1712222209316,87,11.0
1712222210343,88,10.6
1712222211315,88,10.7
1712222212444,88,10.5
1712222213359,88,9.1
1712222214339,88,8.8
1712222215315,88,7.0
1712222216388,88,6.9
1712222217361,88,6.9
1712222218337,88,8.1
1712222219316,88,8.0
1712222220335,89,7.2
1712222221313,89,6.7
1712222222333,89,6.7
1712222223313,89,7.1
1712222224331,88,7.3
1712222225303,88,7.3
1712222226337,87,7.1
1712222227355,87,7.0
1712222228385,87,7.0
1712222229304,86,7.0
1712222230329,87,7.1
1712222231356,87,6.9
1712222232336,87,6.9
1712222233299,88,6.9
1712222234326,88,6.7
1712222235301,88,6.8
1712222236374,88,6.5
1712222237300,88,6.6
1712222238321,87,4.7
1712222239311,87,5.0
1712222240321,87,5.2
1712222241297,86,5.1
1712222242321,86,5.1
1712222243294,87,4.8
1712222244319,87,4.6
1712222245295,87,4.6
1712222246319,86,4.6
1712222247300,86,4.6
1712222248310,86,4.6
1712222249292,86,4.6
1712222250312,86,4.4
1712222251291,86,4.3
1712222252316,86,3.9
1712222253295,86,3.9
1712222254312,86,3.9
1712222255388,86,4.1
1712222256311,86,4.1
1712222257337,86,3.9
1712222258312,86,3.6
1712222259337,87,3.5
1712222260327,87,3.5
1712222261329,87,3.5
1712222262311,88,3.4
1712222263329,88,3.1
1712222264353,88,2.8
1712222265428,89,2.9
1712222266308,89,2.9
1712222267335,89,2.9
1712222268355,89,2.9
1712222269328,89,3.0
1712222270302,89,3.0
1712222271333,90,3.9
1712222272304,90,3.9
1712222273382,90,3.8
1712222274300,90,3.7
1712222275326,91,3.6
1712222276301,91,3.6
1712222277321,92,3.9
1712222278297,92,3.5
1712222279375,92,3.7
1712222280302,92,3.7
1712222281321,91,3.7
1712222282302,91,3.7
1712222283321,91,3.7
1712222284397,91,3.7
1712222285365,92,4.0
1712222286297,92,3.9
1712222287316,92,4.0
1712222288293,93,4.0
1712222289367,93,3.1
1712222290296,94,3.1
1712222291317,95,3.4
1712222292289,95,3.4
1712222293416,94,4.0
1712222294287,94,4.0
1712222295313,94,3.8
1712222296337,93,3.8
1712222297313,93,3.6
1712222298390,93,3.7
1712222299315,92,3.8
1712222300339,92,3.8
1712222301309,91,3.7
1712222302329,91,3.7
1712222303308,92,4.3
1712222304331,92,4.1
1712222305305,92,4.1
1712222306335,92,4.1
1712222307305,92,4.1
1712222308325,91,4.3
1712222309304,91,4.2
1712222310325,91,4.0
1712222311307,91,4.0
1712222312380,92,3.5
1712222313305,92,3.4
1712222314323,92,3.4
1712222315349,92,3.4
1712222316336,92,3.3
1712222317400,92,3.3
1712222318324,92,3.3
1712222319358,91,3.3
1712222320373,91,4.3
1712222321301,90,4.3
1712222322329,90,3.6
1712222323295,90,4.0
1712222324319,90,4.4
1712222325293,90,5.0
1712222326323,91,4.9
1712222327292,91,4.8
1712222328323,92,4.8
1712222329297,92,4.9
1712222330324,91,5.5
1712222331340,91,5.4
1712222332318,90,5.6
1712222333289,89,5.7
1712222334316,89,5.7
1712222335339,89,5.8
1712222336313,90,7.7
1712222337337,90,7.5
1712222338318,90,7.9
1712222339336,89,7.5
1712222340319,89,7.4
1712222341343,90,8.2
1712222342305,91,8.3
1712222343329,91,8.3
1712222344313,91,8.7
1712222345379,91,8.7
1712222346353,90,9.6
1712222347332,88,10.9
1712222348305,87,11.0
1712222349329,86,11.2
1712222350355,84,10.9
1712222351329,84,11.0
1712222352303,83,10.9
1712222353331,83,10.9
1712222354302,82,11.0
1712222355323,82,11.0
1712222356302,82,9.8
1712222357326,82,10.4
1712222358300,83,10.3
1712222359324,83,10.2
1712222360305,83,10.2
1712222361325,84,10.3
1712222362301,84,9.7
1712222363323,84,9.5
1712222364350,85,9.5
1712222365325,85,8.7
1712222366297,85,8.7
1712222367324,86,7.6
1712222368349,86,6.2
1712222369318,86,5.7
1712222370297,87,5.6
1712222371367,87,5.8
1712222372292,87,5.8
1712222373361,88,5.5
1712222374438,88,5.5
1712222375307,89,5.4
1712222376529,89,5.4
1712222377411,89,4.0
1712222378342,89,4.0
1712222379457,89,4.2
1712222380336,89,4.1
1712222381315,89,3.8
1712222382335,89,3.8
1712222383313,89,3.7
1712222384329,89,3.7
1712222385308,89,3.7
1712222386331,90,3.1
1712222387360,90,3.1
1712222388331,90,3.0
1712222389305,91,3.4
1712222390329,91,3.4
1712222391308,92,2.8
1712222392323,92,3.0
1712222393305,93,3.0
1712222394388,93,3.0
1712222395305,93,3.0
1712222396325,93,3.1
1712222397348,92,3.1
1712222398323,92,2.9
1712222399299,92,3.5
1712222400382,93,3.5
1712222401297,93,3.5
1712222402321,93,3.5
1712222403301,93,3.5
1712222404318,92,3.5
1712222405296,93,3.1
1712222406319,93,3.1
1712222407297,93,3.1
1712222408318,93,2.7
1712222409292,93,2.9
1712222410318,93,2.9
1712222411341,93,2.8
1712222412369,93,2.9
1712222413294,92,3.0
1712222414319,92,3.0
1712222415289,92,3.9
1712222416321,92,3.9
1712222417287,93,3.9
1712222418310,93,3.3
1712222419342,93,3.7
1712222420313,92,4.1
1712222421329,92,4.1
1712222422315,91,4.1
1712222423334,91,4.1
1712222424303,91,4.3
1712222425329,91,4.3
1712222426309,91,4.3
1712222427380,91,4.3
1712222428359,92,5.5
1712222429329,92,5.5
1712222430404,93,5.5
1712222431329,92,5.5
1712222432304,92,5.5
1712222433329,92,5.6
1712222434302,92,5.0
1712222435326,91,5.3
1712222436305,90,5.3
1712222437325,90,5.3
1712222438307,89,5.3
1712222439323,89,5.2
1712222440304,88,5.1
1712222441326,88,5.1
1712222442297,88,5.1
1712222443320,88,5.1
1712222444297,88,4.9
1712222445368,88,5.3
1712222446347,88,5.3
1712222447321,88,3.9
1712222448289,89,4.0
1712222449323,89,4.0
1712222450350,89,3.8
1712222451313,90,3.9
1712222452293,91,4.1
1712222453318,91,4.2
1712222454308,92,3.7
1712222455312,91,6.1
1712222456288,91,6.9
1712222457315,90,6.8
