phoneTimestamp,hr,hrv
1711124326704,63,
1711124327653,63,
1711124328675,63,
1711124329646,64,
1711124330629,64,7.2
1711124331653,64,7.6
1711124332628,63,13.7
1711124333645,63,13.0
1711124334631,63,12.3
1711124335649,63,11.7
1711124336625,63,11.1
1711124337656,63,11.1
1711124338619,63,10.6
1711124339647,63,10.8
1711124340617,63,10.5
1711124341641,63,10.2
1711124342625,63,9.9
1711124343640,63,9.7
1711124344669,63,9.9
1711124345689,63,10.4
1711124346623,63,10.1
1711124347641,63,10.5
1711124348617,62,11.3
1711124349639,62,14.0
1711124350619,62,13.7
1711124351639,61,13.5
1711124352620,61,13.8
1711124353641,61,13.5
1711124354619,61,13.3
1711124355641,61,13.3
1711124356609,61,13.1
1711124357638,61,13.1
1711124358709,61,13.1
1711124359685,61,13.1
1711124360659,60,11.7
1711124361637,60,11.7
1711124362657,60,11.7
1711124363635,60,11.7
1711124364661,60,12.1
1711124365627,60,12.1
1711124366661,60,11.9
1711124367631,60,11.9
1711124368654,59,12.6
1711124369627,60,12.6
1711124370653,60,12.7
1711124371635,60,12.7
1711124372649,60,12.7
1711124373624,60,12.5
1711124374654,60,12.1
1711124375625,60,12.2
1711124376700,60,12.2
1711124377673,59,11.5
1711124378648,59,8.5
1711124379676,59,8.6
1711124380647,59,8.7
1711124381616,59,10.8
1711124382646,60,11.3
1711124383617,60,11.4
1711124384649,60,11.7
1711124385617,61,11.7
1711124386644,61,11.7
1711124387620,61,11.8
1711124388641,62,11.8
1711124389616,62,11.8
1711124390641,62,11.8
1711124391613,62,11.8
1711124392688,63,11.7
1711124393624,63,12.2
1711124394638,63,12.3
1711124395617,63,12.8
1711124396635,63,11.8
1711124397616,64,12.0
1711124398633,64,11.9
1711124399661,64,11.9
1711124400688,64,12.0
1711124401705,64,12.0
1711124402726,65,12.0
1711124403661,65,12.5
1711124404633,64,12.2
1711124405657,64,12.3
1711124406632,64,12.2
1711124407707,64,12.3
1711124408684,64,9.8
1711124409652,64,9.7
1711124410680,64,9.8
1711124411652,64,9.3
1711124412630,64,9.4
1711124413651,64,9.9
1711124414625,64,10.2
1711124415656,64,10.5
1711124416683,63,10.6
1711124417649,63,10.5
1711124418620,63,10.6
1711124419649,62,10.6
1711124420621,62,10.3
1711124421644,62,9.7
1711124422625,62,12.3
1711124423651,62,11.9
1711124424624,62,12.1
1711124425693,62,11.8
1711124426665,63,11.8
1711124427645,63,11.8
1711124428619,63,11.7
1711124429641,63,11.7
1711124430615,63,11.6
1711124431646,63,11.4
1711124432621,63,11.4
1711124433638,63,11.3
1711124434614,63,11.3
1711124435639,63,11.1
1711124436612,63,11.1
1711124437633,63,10.7
1711124438612,63,10.6
1711124439636,63,10.6
1711124440661,62,10.5
1711124441638,62,10.1
1711124442657,62,9.7
1711124443633,62,9.6
1711124444655,63,9.5
1711124445635,63,9.5
1711124446657,63,10.4
1711124447628,63,10.4
1711124448667,64,10.4
1711124449625,64,8.1
1711124450707,64,8.2
1711124451629,65,8.0
1711124452655,65,8.0
1711124453633,66,8.0
1711124454657,66,8.0
1711124455627,66,7.9
1711124456655,66,7.9
1711124457625,66,7.3
1711124458697,67,7.3
1711124459678,67,7.3
1711124460649,67,7.6
1711124461627,68,7.6
1711124462646,68,7.8
1711124463670,68,7.7
1711124464640,68,7.7
1711124465613,68,7.9
1711124466643,69,7.8
1711124467624,68,8.2
1711124468641,68,8.0
1711124469617,68,8.0
1711124470641,68,8.0
1711124471664,68,7.4
1711124472741,68,7.4
1711124473713,69,7.5
1711124474633,69,6.1
1711124475614,69,6.7
1711124476639,69,7.2
1711124477665,70,7.2
1711124478636,69,7.9
1711124479608,69,7.9
1711124480633,69,8.3
1711124481660,69,8.7
1711124482631,68,8.7
1711124483657,68,8.6
1711124484633,68,9.1
1711124485660,68,9.3
1711124486631,69,9.6
1711124487656,69,9.4
