phoneTimestamp,duration
1711124326704,904
1711124327608,924
1711124328532,933
1711124329465,921
1711124330385,965
1711124331351,984
1711124332335,965
1711124333300,972
1711124334272,982
1711124335254,974
1711124336228,960
1711124337188,962
1711124338150,941
1711124339091,942
1711124340033,947
1711124340980,930
1711124341910,934
1711124342844,954
1711124343798,951
1711124344749,918
1711124345667,970
1711124346637,1035
1711124347672,1045
1711124348717,993
1711124349710,1037
1711124350747,1037
1711124351784,1005
1711124352789,1017
1711124353806,1013
1711124354819,983
1711124355801,998
1711124356800,1002
1711124357801,986
1711124358788,1007
1711124359795,1015
1711124360809,1019
1711124361829,978
1711124362807,1042
1711124363849,1049
1711124364897,1035
1711124365933,1007
1711124366940,1035
1711124367975,998
1711124368973,1009
1711124369982,995
1711124370977,992
1711124371969,1007
1711124372976,975
1711124373951,999
1711124374950,1037
1711124375987,1030
1711124377017,1024
1711124378041,1045
1711124379086,1045
1711124380131,984
1711124381115,966
1711124382081,959
1711124383040,934
1711124383974,934
1711124384908,943
1711124385851,935
1711124386785,944
1711124387729,946
1711124388676,938
1711124389614,924
1711124390537,949
1711124391487,943
1711124392430,909
1711124393339,916
1711124394255,943
1711124395198,934
1711124396132,903
1711124397035,882
1711124397917,902
1711124398819,915
1711124399734,936
1711124400670,912
1711124401582,916
1711124402497,945
1711124403443,959
1711124404401,948
1711124405350,961
1711124406311,971
1711124407281,948
1711124408230,896
1711124409126,922
1711124410048,932
1711124410980,920
1711124411900,948
1711124412848,978
1711124413825,964
1711124414790,988
1711124415777,995
1711124416773,987
1711124417760,1001
1711124418761,1013
1711124419774,1018
1711124420792,946
1711124421737,944
1711124422681,959
1711124423641,957
1711124424598,946
1711124425544,910
1711124426454,914
1711124427368,976
1711124428344,951
1711124429295,955
1711124430249,976
1711124431225,972
1711124432198,979
1711124433177,967
1711124434144,937
1711124435081,945
1711124436025,963
1711124436989,979
1711124437968,959
1711124438927,963
1711124439889,973
1711124440863,969
1711124441832,952
1711124442784,946
1711124443729,947
1711124444677,921
1711124445598,921
1711124446519,916
1711124447435,916
1711124448351,885
1711124449236,893
1711124450129,889
1711124451017,876
1711124451894,876
1711124452769,889
1711124453659,887
1711124454545,894
1711124455440,885
1711124456325,883
1711124457208,879
1711124458087,846
1711124458933,865
1711124459798,877
1711124460675,891
1711124461566,834
1711124462400,855
1711124463255,845
1711124464100,866
1711124464966,864
1711124465830,872
1711124466702,892
1711124467593,902
1711124468496,886
1711124469382,890
1711124470272,867
1711124471139,862
1711124472001,864
1711124472865,839
1711124473704,835
1711124474539,856
1711124475395,854
1711124476249,834
1711124477083,874
1711124477957,891
1711124478848,907
1711124479755,878
