RowIndex,Reason,OriginalLine
27,IBI out of range,Row 27 | Timestamp: 1712016477304 ms | PPG(Green=2115655, Red=2115655, Ir=2115655) | ACC(X=2.08369898796082, Y=0.720911920070648, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
28,IBI out of range,Row 28 | Timestamp: 1712016477345 ms | PPG(Green=2116351, Red=2116351, Ir=2116351) | ACC(X=2.17231607437134, Y=0.804738879203796, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
29,IBI out of range,Row 29 | Timestamp: 1712016477386 ms | PPG(Green=2117313, Red=2117313, Ir=2117313) | ACC(X=2.03819274902344, Y=0.823899328708649, Z=9.60177993774414) | HR=86 bpm | IBI=0 ms | Participant=P15
30,IBI out of range,Row 30 | Timestamp: 1712016477425 ms | PPG(Green=2118150, Red=2118150, Ir=2118150) | ACC(X=2.05256319046021, Y=0.790368556976318, Z=9.70476722717285) | HR=86 bpm | IBI=0 ms | Participant=P15
31,IBI out of range,Row 31 | Timestamp: 1712016477465 ms | PPG(Green=2119211, Red=2119211, Ir=2119211) | ACC(X=2.06932854652405, Y=0.811924040317535, Z=9.67602729797363) | HR=86 bpm | IBI=0 ms | Participant=P15
32,IBI out of range,Row 32 | Timestamp: 1712016477505 ms | PPG(Green=2120019, Red=2120019, Ir=2120019) | ACC(X=2.05495810508728, Y=0.864615261554718, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
33,IBI out of range,Row 33 | Timestamp: 1712016477545 ms | PPG(Green=2121488, Red=2121488, Ir=2121488) | ACC(X=1.98789668083191, Y=0.77599823474884, Z=9.6568660736084) | HR=86 bpm | IBI=0 ms | Participant=P15
34,IBI out of range,Row 34 | Timestamp: 1712016477586 ms | PPG(Green=2122940, Red=2122940, Ir=2122940) | ACC(X=2.05735325813293, Y=0.845454812049866, Z=9.60177993774414) | HR=87 bpm | IBI=0 ms | Participant=P15
35,IBI out of range,Row 35 | Timestamp: 1712016477625 ms | PPG(Green=2124618, Red=2124618, Ir=2124618) | ACC(X=2.04298281669617, Y=0.823899328708649, Z=9.55387878417969) | HR=87 bpm | IBI=0 ms | Participant=P15
36,IBI out of range,Row 36 | Timestamp: 1712016477665 ms | PPG(Green=2126325, Red=2126325, Ir=2126325) | ACC(X=1.9567608833313, Y=0.88377571105957, Z=9.63770580291748) | HR=87 bpm | IBI=0 ms | Participant=P15
37,IBI out of range,Row 37 | Timestamp: 1712016477705 ms | PPG(Green=2128062, Red=2128062, Ir=2128062) | ACC(X=2.01903247833252, Y=0.85024493932724, Z=9.60657024383545) | HR=87 bpm | IBI=0 ms | Participant=P15
38,IBI out of range,Row 38 | Timestamp: 1712016477746 ms | PPG(Green=2129843, Red=2129843, Ir=2129843) | ACC(X=1.8729339838028, Y=0.867010354995728, Z=9.59459495544434) | HR=86 bpm | IBI=0 ms | Participant=P15
39,IBI out of range,Row 39 | Timestamp: 1712016477786 ms | PPG(Green=2131718, Red=2131718, Ir=2131718) | ACC(X=2.07890868186951, Y=0.905331254005432, Z=9.6472864151001) | HR=86 bpm | IBI=0 ms | Participant=P15
40,IBI out of range,Row 40 | Timestamp: 1712016477826 ms | PPG(Green=2133696, Red=2133696, Ir=2133696) | ACC(X=2.01663732528686, Y=0.831084489822388, Z=9.6472864151001) | HR=86 bpm | IBI=0 ms | Participant=P15
41,IBI out of range,Row 41 | Timestamp: 1712016477866 ms | PPG(Green=2135855, Red=2135855, Ir=2135855) | ACC(X=1.90885972976685, Y=0.804738879203796, Z=9.66644668579102) | HR=86 bpm | IBI=0 ms | Participant=P15
42,IBI out of range,Row 42 | Timestamp: 1712016477906 ms | PPG(Green=2137669, Red=2137669, Ir=2137669) | ACC(X=1.91843998432159, Y=0.898146092891693, Z=9.69758224487305) | HR=86 bpm | IBI=0 ms | Participant=P15
43,IBI out of range,Row 43 | Timestamp: 1712016477946 ms | PPG(Green=2138153, Red=2138153, Ir=2138153) | ACC(X=1.95436584949493, Y=0.876590549945831, Z=9.74069309234619) | HR=86 bpm | IBI=0 ms | Participant=P15
44,IBI out of range,Row 44 | Timestamp: 1712016477987 ms | PPG(Green=2138001, Red=2138001, Ir=2138001) | ACC(X=1.892094373703, Y=0.934071898460388, Z=9.6448917388916) | HR=86 bpm | IBI=0 ms | Participant=P15
45,IBI out of range,Row 45 | Timestamp: 1712016478026 ms | PPG(Green=2137802, Red=2137802, Ir=2137802) | ACC(X=1.8465883731842, Y=0.893355965614319, Z=9.73350811004639) | HR=87 bpm | IBI=0 ms | Participant=P15
46,IBI out of range,Row 46 | Timestamp: 1712016478066 ms | PPG(Green=2138123, Red=2138123, Ir=2138123) | ACC(X=1.95197081565857, Y=0.828689455986023, Z=9.69039726257324) | HR=87 bpm | IBI=0 ms | Participant=P15
47,IBI out of range,Row 47 | Timestamp: 1712016478106 ms | PPG(Green=2138726, Red=2138726, Ir=2138726) | ACC(X=1.88490927219391, Y=0.912516415119171, Z=9.65207672119141) | HR=88 bpm | IBI=0 ms | Participant=P15
48,IBI out of range,Row 48 | Timestamp: 1712016478146 ms | PPG(Green=2139750, Red=2139750, Ir=2139750) | ACC(X=1.9112548828125, Y=1.0035285949707, Z=9.69997787475586) | HR=89 bpm | IBI=0 ms | Participant=P15
49,IBI out of range,Row 49 | Timestamp: 1712016478187 ms | PPG(Green=2140890, Red=2140890, Ir=2140890) | ACC(X=1.88251411914825, Y=0.922096610069275, Z=9.65926170349121) | HR=89 bpm | IBI=0 ms | Participant=P15
50,IBI out of range,Row 50 | Timestamp: 1712016478226 ms | PPG(Green=2141759, Red=2141759, Ir=2141759) | ACC(X=1.81066250801086, Y=0.900541126728058, Z=9.56106472015381) | HR=90 bpm | IBI=0 ms | Participant=P15
51,IBI out of range,Row 51 | Timestamp: 1712016478266 ms | PPG(Green=2142983, Red=2142983, Ir=2142983) | ACC(X=1.86095869541168, Y=0.910121321678162, Z=9.57543468475342) | HR=90 bpm | IBI=0 ms | Participant=P15
52,IBI out of range,Row 52 | Timestamp: 1712016478306 ms | PPG(Green=2144237, Red=2144237, Ir=2144237) | ACC(X=1.82503283023834, Y=0.867010354995728, Z=9.59459495544434) | HR=90 bpm | IBI=0 ms | Participant=P15
53,IBI out of range,Row 53 | Timestamp: 1712016478347 ms | PPG(Green=2145618, Red=2145618, Ir=2145618) | ACC(X=1.79629218578339, Y=0.905331254005432, Z=9.63291645050049) | HR=90 bpm | IBI=0 ms | Participant=P15
