RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 33 | Timestamp: 1711437341612 ms | PPG(Green=2123873, Red=2123873, Ir=2123873) | ACC(X=-1.72444045543671, Y=-0.364048540592194, Z=9.8269157409668) | HR=68 bpm | IBI=754 ms | Participant=P11
Row 34 | Timestamp: 1711437341651 ms | PPG(Green=2123840, Red=2123840, Ir=2123840) | ACC(X=-1.4418238401413, Y=0.349678218364716, Z=9.77661895751953) | HR=66 bpm | IBI=815 ms | Participant=P11
Row 39 | Timestamp: 1711437341852 ms | PPG(Green=2123297, Red=2123297, Ir=2123297) | ACC(X=-1.60708272457123, Y=-0.131728082895279, Z=9.80535984039307) | HR=65 bpm | IBI=840 ms | Participant=P11
Row 790 | Timestamp: 1711437371991 ms | PPG(Green=1848804, Red=1848804, Ir=1848804) | ACC(X=-2.49085855484009, Y=-8.919189453125, Z=1.04663956165314) | HR=78 bpm | IBI=835 ms | Participant=P11
Row 1156 | Timestamp: 1711437386728 ms | PPG(Green=1993582, Red=1993582, Ir=1993582) | ACC(X=-0.337702929973602, Y=-0.35207325220108, Z=9.88679218292236) | HR=75 bpm | IBI=808 ms | Participant=P11
