RowIndex,Reason,OriginalLine
0,HeartRate out of range,Row 0 | Timestamp: 1710985789878 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=-2.75670957565308, Y=1.36039185523987, Z=9.41736125946045) | HR=0 bpm | IBI=0 ms | Participant=P05
0,HeartRate out of range,Row 0 | Timestamp: 1710985789878 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=-2.75670957565308, Y=1.36039185523987, Z=9.41736125946045) | HR=0 bpm | IBI=0 ms | Participant=P05
1,HeartRate out of range,Row 1 | Timestamp: 1710985789921 ms | PPG(Green=2427762, Red=2427762, Ir=2427762) | ACC(X=-2.74473428726196, Y=1.32925617694855, Z=9.39580535888672) | HR=0 bpm | IBI=0 ms | Participant=P05
2,HeartRate out of range,Row 2 | Timestamp: 1710985789959 ms | PPG(Green=2427618, Red=2427618, Ir=2427618) | ACC(X=-2.7088086605072, Y=1.23345398902893, Z=9.4676570892334) | HR=0 bpm | IBI=0 ms | Participant=P05
3,HeartRate out of range,Row 3 | Timestamp: 1710985789999 ms | PPG(Green=2427650, Red=2427650, Ir=2427650) | ACC(X=-2.85730195045471, Y=1.43703365325928, Z=9.3790397644043) | HR=0 bpm | IBI=0 ms | Participant=P05
4,HeartRate out of range,Row 4 | Timestamp: 1710985790039 ms | PPG(Green=2427671, Red=2427671, Ir=2427671) | ACC(X=-2.75910472869873, Y=1.51846563816071, Z=9.35269451141357) | HR=0 bpm | IBI=0 ms | Participant=P05
5,HeartRate out of range,Row 5 | Timestamp: 1710985790079 ms | PPG(Green=2427845, Red=2427845, Ir=2427845) | ACC(X=-2.76149988174438, Y=1.35560178756714, Z=9.32395362854004) | HR=0 bpm | IBI=0 ms | Participant=P05
6,HeartRate out of range,Row 6 | Timestamp: 1710985790119 ms | PPG(Green=2428044, Red=2428044, Ir=2428044) | ACC(X=-2.8644871711731, Y=1.33404624462128, Z=9.30718803405762) | HR=0 bpm | IBI=0 ms | Participant=P05
7,HeartRate out of range,Row 7 | Timestamp: 1710985790160 ms | PPG(Green=2428284, Red=2428284, Ir=2428284) | ACC(X=-2.75670957565308, Y=1.36997210979462, Z=9.3766450881958) | HR=0 bpm | IBI=0 ms | Participant=P05
8,HeartRate out of range,Row 8 | Timestamp: 1710985790199 ms | PPG(Green=2428497, Red=2428497, Ir=2428497) | ACC(X=-2.69204306602478, Y=1.24542927742004, Z=9.48921298980713) | HR=0 bpm | IBI=0 ms | Participant=P05
9,HeartRate out of range,Row 9 | Timestamp: 1710985790239 ms | PPG(Green=2428708, Red=2428708, Ir=2428708) | ACC(X=-2.80700588226318, Y=1.2550094127655, Z=9.33353424072266) | HR=0 bpm | IBI=0 ms | Participant=P05
