dataReceived,timestamp,ambientTemp,objectTemp,status
1711420496035,1711417195884,29.346004486083984,30.502117156982425,0
1711420496035,1711417255884,29.660934448242188,30.801156997680664,0
1711420496035,1711417315884,29.890010833740234,30.84945106506348,0
1711420496035,1711417375884,30.169103622436523,31.09432601928711,0
1711420496035,1711417435884,30.433948516845703,31.150678634643555,0
1711420496035,1711417495884,30.584199905395508,31.45784950256348,0
1711420496035,1711417555884,30.791732788085938,31.48491477966309,0
1711420496035,1711417615884,30.956335067749023,31.558990478515625,0
1711420496035,1711417675884,31.06365966796875,31.81958770751953,0
1711420496035,1711417735884,31.17815589904785,31.840246200561523,0
1711420496035,1711417795884,31.221078872680664,31.89217185974121,0
1711420496035,1711417855884,31.392803192138672,31.961050033569336,0
1711420496035,1711417915884,31.47867202758789,32.14766311645508,0
1711420496035,1711417975884,31.45720100402832,32.162925720214844,0
1711420496035,1711418035884,31.47867202758789,32.16374588012695,0
1711420496035,1711418095884,31.47867202758789,32.135467529296875,0
1711420496035,1711418155884,31.349878311157227,32.06432342529297,0
1711420496035,1711418215884,31.371353149414062,32.02473449707031,0
1711420496035,1711418275884,31.378494262695312,32.01296615600586,0
1711420496035,1711418335884,31.45720100402832,32.014400482177734,0
1711420496035,1711418395884,31.4285831451416,32.020774841308594,0
1711420496035,1711418455884,31.55021476745605,32.05120086669922,0
1711420496035,1711418515884,31.521596908569336,32.08624649047852,0
1711420496035,1711418575884,31.69331359863281,32.11539459228516,0
1711420496035,1711418635884,31.757707595825195,32.151878356933594,0
1711420496035,1711418695884,31.88649177551269,32.381351470947266,0
1711420496035,1711418755884,31.98665428161621,32.38603973388672,0
1711420496035,1711418815884,31.96519088745117,32.39080810546875,0
1711420496035,1711418875884,31.95088195800781,32.42694091796875,0
1711420496035,1711418935884,32.144046783447266,32.477237701416016,0
1711420496035,1711418995884,32.28712463378906,32.54933166503906,0
1711420496035,1711419055884,32.4158935546875,32.62228775024414,0
1711420496035,1711419115884,32.48027420043945,32.68896484375,0
1711420496035,1711419175884,32.544654846191406,32.76939010620117,0
1711420496035,1711419235884,32.394439697265625,32.802242279052734,0
1711420496035,1711419295884,32.408748626708984,32.818641662597656,0
1711420496035,1711419355884,32.408748626708984,32.84334182739258,0
1711420496035,1711419415884,32.4158935546875,32.85076904296875,0
1711420496035,1711419475884,32.25136184692383,32.841880798339844,0
1711420496035,1711419535884,32.31574630737305,32.82106018066406,0
1711420496035,1711419595884,32.2012825012207,32.814720153808594,0
1711420496035,1711419655884,32.07965850830078,32.7785530090332,0
1711420496035,1711419715884,32.072505950927734,32.72220993041992,0
1711420496035,1711419775884,32.144046783447266,32.67738342285156,0
1711420496035,1711419835884,32.1655158996582,32.63576889038086,0
1711420496035,1711419895884,32.2012825012207,32.61209487915039,0
1711420496035,1711419955884,32.31574630737305,32.61570358276367,0
1711420496035,1711420015884,32.408748626708984,32.64743423461914,0
1711420496035,1711420075884,32.48027420043945,32.67962646484375,0
1711420496035,1711420135884,32.45882034301758,32.68971252441406,0
1711420496035,1711420195884,32.394439697265625,32.68229293823242,0
1711420496035,1711420255884,32.423057556152344,32.68540573120117,0
1711420496035,1711420315884,32.49458312988281,32.708518981933594,0
1711420496035,1711420375884,32.48744201660156,32.694427490234375,0
1711420496035,1711420435884,32.32289123535156,32.543235778808594,0
1711420496035,1711420495884,32.129737854003906,32.486595153808594,0
1711420797467,1711420557462,31.857873916625977,32.42424774169922,0
1711420797467,1711420617462,31.62177085876465,32.11604690551758,0
1711420797467,1711420677462,31.42141914367676,32.083717346191406,0
1711420797467,1711420737462,31.31409454345703,31.85890388488769,0
1711420797467,1711420797462,31.58599281311035,31.908830642700195,0
