phoneTimestamp,hr,hrv
1712241322409,104,
1712241323377,102,
1712241324408,102,
1712241325377,98,5.8
1712241326401,97,5.3
1712241327377,97,4.8
1712241328409,96,4.5
1712241329377,94,10.9
1712241330399,93,10.4
1712241331376,92,9.7
1712241332403,91,9.4
1712241333373,92,12.4
1712241334446,93,11.9
1712241335371,95,11.8
1712241336398,96,11.6
1712241337377,97,11.1
1712241338393,99,10.8
1712241339373,99,10.6
1712241340397,100,10.2
1712241341369,101,10.2
1712241342398,102,10.1
1712241343366,102,10.0
1712241344391,102,9.9
1712241345414,102,9.9
1712241346391,103,9.9
1712241347416,103,7.9
1712241348390,103,7.9
1712241349409,103,7.9
1712241350435,102,4.2
1712241351409,103,4.4
1712241352392,104,3.7
1712241353411,106,3.9
1712241354383,106,3.9
1712241355407,107,3.8
1712241356385,106,4.9
1712241357406,105,4.9
1712241358385,103,6.0
1712241359407,101,6.0
1712241360381,101,6.0
1712241361405,100,6.4
1712241362380,101,6.3
1712241363404,101,6.3
1712241364385,101,6.2
1712241365451,100,6.2
1712241366382,101,6.5
1712241367448,102,6.6
1712241368380,103,6.4
1712241369401,104,6.5
1712241370374,103,6.5
1712241371399,101,7.5
1712241372373,100,8.0
1712241373397,98,8.3
1712241374373,97,7.8
1712241375397,95,7.6
1712241376375,94,7.1
1712241377395,94,7.3
1712241378372,93,7.5
1712241379396,93,7.2
1712241380368,93,7.2
1712241381393,92,7.2
1712241382367,92,7.3
1712241383399,91,8.7
1712241384372,90,9.3
1712241385393,90,9.8
1712241386417,89,9.8
1712241387388,90,12.5
1712241388409,90,12.5
1712241389398,91,12.4
1712241390413,91,12.0
1712241391387,91,11.5
1712241392409,91,11.5
1712241393385,91,11.4
1712241394409,90,11.3
1712241395384,89,12.7
1712241396411,88,13.0
1712241397430,88,13.0
1712241398407,88,13.1
1712241399381,88,13.2
1712241400454,88,13.2
1712241401427,88,13.5
1712241402405,88,13.0
1712241403384,88,12.6
1712241404401,87,11.8
1712241405382,88,11.8
1712241406401,88,11.9
1712241407376,88,8.8
1712241408401,88,9.0
1712241409375,88,9.3
1712241410401,88,9.4
1712241411380,88,9.6
1712241412398,87,9.6
1712241413377,86,9.6
1712241414399,85,10.6
1712241415468,85,10.1
1712241416404,85,10.7
1712241417373,85,10.5
1712241418397,86,10.4
1712241419465,86,10.3
1712241420444,86,10.3
1712241421366,86,9.8
1712241422396,87,9.9
1712241423372,87,10.0
1712241424393,87,10.1
1712241425416,87,10.2
1712241426397,87,10.2
1712241427414,86,9.9
1712241428389,87,11.7
1712241429411,88,11.3
1712241430385,88,11.2
1712241431414,88,10.9
1712241432387,88,11.6
1712241433412,88,10.7
1712241434436,88,11.0
1712241435408,88,10.0
1712241436384,87,8.9
1712241437405,87,8.9
1712241438385,87,8.9
1712241439405,87,8.9
1712241440383,87,9.2
1712241441405,87,9.2
1712241442383,87,9.2
1712241443405,86,10.8
1712241444379,86,11.0
1712241445449,86,10.9
1712241446377,86,11.0
1712241447403,87,11.2
1712241448379,87,9.4
1712241449398,88,9.6
1712241450374,89,10.2
1712241451403,90,10.2
1712241452373,90,9.5
1712241453401,90,9.2
1712241454372,89,9.5
1712241455395,89,10.0
1712241456372,87,11.1
1712241457398,86,11.5
1712241458377,85,11.5
1712241459393,84,11.9
1712241460373,85,12.3
1712241461393,85,12.6
1712241462417,86,12.6
1712241463441,86,11.2
1712241464368,85,10.9
1712241465390,85,12.3
1712241466416,85,12.1
1712241467437,84,12.6
1712241468411,83,12.6
1712241469388,83,13.6
1712241470411,83,13.5
1712241471391,83,13.2
1712241472461,83,14.0
1712241473392,82,13.9
1712241474413,81,13.9
1712241475384,81,14.0
1712241476406,82,13.7
1712241477385,83,13.0
1712241478405,83,12.7
1712241479382,83,12.8
1712241480406,83,12.4
1712241481382,83,11.9
1712241482453,83,11.7
1712241483380,83,11.7
1712241484401,83,11.7
1712241485379,83,11.7
1712241486449,83,10.5
1712241487376,82,10.7
1712241488399,82,10.0
1712241489377,82,10.2
1712241490400,82,9.1
1712241491379,83,9.2
1712241492408,83,9.1
1712241493376,83,8.9
1712241494397,84,8.9
1712241495377,83,9.0
1712241496393,83,8.4
1712241497380,83,8.4
1712241498393,83,8.2
1712241499425,83,8.2
1712241500443,83,8.1
1712241501465,83,8.1
1712241502446,84,9.2
1712241503369,84,10.1
1712241504392,86,10.2
1712241505417,86,10.3
1712241506392,86,10.4
1712241507369,86,10.2
1712241508389,86,10.3
1712241509416,86,10.0
1712241510436,87,10.3
1712241511409,88,10.5
1712241512389,89,10.3
1712241513413,90,9.9
1712241514385,90,10.0
1712241515461,90,10.0
1712241516384,89,9.9
1712241517409,89,10.0
1712241518383,89,9.9
1712241519403,90,10.1
1712241520433,91,10.3
1712241521405,91,9.0
1712241522397,91,8.2
1712241523452,91,8.7
1712241524383,90,9.0
1712241525405,89,8.7
1712241526380,89,8.8
1712241527401,88,8.4
1712241528379,88,8.3
1712241529411,88,8.1
1712241530376,88,7.9
1712241531399,88,7.6
1712241532374,88,7.1
1712241533398,88,7.0
1712241534427,87,6.9
1712241535401,88,6.8
1712241536372,88,9.1
1712241537397,89,9.0
1712241538373,89,9.0
1712241539404,89,10.0
1712241540369,89,9.9
1712241541393,88,10.2
1712241542371,88,10.1
1712241543399,86,10.2
1712241544365,86,9.9
1712241545393,85,10.4
1712241546365,85,10.4
1712241547400,86,12.1
1712241548368,88,12.5
1712241549391,89,12.6
1712241550409,90,12.6
1712241551389,91,12.6
1712241552409,91,12.7
1712241553398,90,13.7
1712241554408,89,14.1
1712241555385,88,14.8
1712241556412,86,13.4
1712241557388,86,13.4
1712241558406,85,13.9
1712241559384,85,13.1
1712241560408,86,13.2
1712241561385,86,13.0
1712241562403,86,12.9
1712241563385,86,12.4
1712241564401,86,13.4
1712241565380,85,13.0
1712241566405,84,13.0
1712241567424,84,13.0
1712241568401,84,10.9
1712241569385,85,11.5
1712241570401,86,11.5
1712241571375,86,11.6
1712241572401,86,11.6
1712241573374,86,11.8
1712241574447,87,10.1
1712241575373,88,9.3
1712241576395,89,9.3
1712241577376,91,10.1
1712241578395,92,9.3
1712241579369,94,9.1
1712241580393,95,9.1
1712241581367,95,9.1
1712241582441,96,9.0
1712241583369,96,7.6
1712241584393,95,7.9
1712241585377,94,8.0
1712241586389,94,8.0
1712241587369,94,7.9
1712241588390,92,7.1
1712241589363,92,7.0
1712241590391,92,6.6
1712241591409,92,6.6
1712241592388,91,6.2
1712241593409,91,6.2
1712241594385,90,5.5
1712241595407,90,5.4
1712241596390,90,4.1
1712241597411,90,4.2
1712241598387,91,4.2
1712241599404,91,4.2
1712241600383,91,4.3
1712241601408,90,5.5
1712241602382,88,7.5
1712241603405,88,7.4
1712241604383,90,13.7
1712241605401,92,14.0
1712241606377,92,14.0
1712241607400,93,14.0
1712241608377,93,14.0
1712241609401,92,15.0
1712241610377,90,16.0
1712241611401,88,17.5
1712241612376,87,17.5
1712241613398,85,17.5
1712241614375,85,17.5
1712241615446,84,17.5
1712241616373,83,17.8
1712241617403,83,17.9
1712241618371,83,18.1
1712241619400,83,18.1
1712241620369,84,18.1
1712241621493,84,17.9
1712241622415,85,17.1
1712241623441,86,17.2
1712241624419,86,12.6
1712241625393,86,12.5
1712241626368,86,12.6
1712241627390,86,12.6
1712241628364,86,12.4
1712241629391,87,12.1
1712241630363,88,11.9
1712241631396,90,9.6
1712241632411,90,9.6
1712241633400,91,9.8
1712241634408,90,9.9
1712241635383,89,11.4
1712241636407,88,11.1
1712241637385,87,11.7
1712241638409,86,12.2
1712241639382,86,12.9
1712241640407,85,13.1
1712241641389,84,13.0
1712241642405,85,15.6
1712241643383,86,15.7
1712241644405,86,15.8
1712241645385,88,15.9
1712241646401,88,15.8
1712241647377,89,15.8
1712241648449,90,15.8
1712241649388,88,15.9
1712241650399,88,15.6
1712241651425,87,15.7
1712241652398,87,15.7
1712241653373,87,15.7
1712241654398,86,15.5
1712241655377,87,15.2
1712241656398,88,15.0
1712241657376,88,14.4
1712241658399,88,13.1
1712241659369,88,13.9
1712241660393,87,13.8
1712241661368,87,13.9
1712241662392,86,10.9
1712241663368,86,11.3
1712241664397,87,11.2
1712241665379,87,11.4
1712241666396,88,11.4
1712241667412,89,11.4
1712241668391,89,11.4
1712241669365,88,11.1
1712241670433,88,10.4
1712241671364,87,10.2
1712241672392,87,10.3
1712241673409,87,10.6
1712241674385,87,10.9
1712241675412,88,9.8
1712241676382,88,9.8
1712241677407,88,9.8
1712241678432,88,11.1
1712241679411,87,10.1
1712241680382,87,9.8
1712241681457,88,12.9
1712241682429,89,12.9
1712241683401,89,12.3
1712241684428,90,12.1
1712241685403,90,12.0
1712241686385,89,12.1
1712241687404,89,12.8
1712241688377,88,12.3
1712241689400,88,12.4
1712241690375,88,12.5
1712241691401,87,12.5
1712241692377,87,12.4
1712241693401,86,12.2
1712241694372,87,14.0
1712241695401,87,13.9
1712241696372,88,13.9
1712241697399,88,13.9
1712241698372,88,12.9
1712241699401,89,13.5
1712241700373,89,13.5
1712241701392,90,10.4
1712241702372,91,10.4
1712241703398,91,10.4
1712241704369,90,11.1
1712241705393,89,11.6
1712241706369,88,12.1
1712241707395,87,12.0
1712241708423,87,11.9
1712241709390,87,11.8
1712241710369,87,11.6
1712241711433,87,12.4
1712241712375,88,12.4
1712241713436,88,12.4
1712241714408,88,10.4
1712241715431,87,10.4
1712241716407,86,10.4
1712241717388,86,10.7
1712241718406,86,10.7
1712241719385,85,10.3
1712241720409,85,10.5
1712241721388,86,10.7
1712241722403,87,11.0
1712241723478,89,11.4
1712241724401,89,10.8
1712241725379,90,10.4
1712241726401,90,9.7
1712241727393,89,10.5
1712241728400,88,10.9
1712241729375,87,11.5
1712241730405,85,12.1
1712241731374,85,11.2
1712241732397,86,19.6
1712241733373,87,19.6
1712241734453,88,19.5
1712241735376,88,19.6
1712241736403,88,19.6
1712241737371,88,19.7
1712241738397,88,19.6
1712241739369,88,19.6
1712241740393,89,20.7
1712241741372,90,20.7
1712241742393,90,20.5
1712241743377,90,20.6
1712241744391,89,20.6
1712241745368,89,20.6
1712241746389,88,20.6
1712241747369,88,19.9
1712241748436,88,19.7
1712241749463,88,19.0
1712241750391,88,19.0
1712241751366,88,10.3
1712241752388,90,13.2
1712241753365,92,13.0
1712241754391,93,12.9
1712241755457,93,13.8
1712241756385,93,13.7
1712241757409,90,18.9
1712241758387,88,18.9
1712241759408,86,17.3
1712241760382,86,17.8
1712241761409,86,18.3
1712241762390,87,20.0
1712241763454,90,20.2
1712241764429,91,20.0
1712241765407,90,21.8
1712241766377,90,21.8
1712241767515,89,21.8
1712241768380,89,21.8
1712241769399,89,21.8
1712241770377,89,21.9
1712241771399,89,20.3
1712241772374,91,20.5
1712241773398,92,20.9
1712241774377,93,20.9
1712241775397,94,20.4
1712241776369,93,22.6
1712241777395,92,18.9
1712241778421,88,21.3
1712241779396,86,22.4
1712241780369,86,22.1
1712241781401,83,21.6
1712241782414,83,19.8
1712241783492,83,19.8
1712241784367,82,19.6
1712241785391,82,20.9
1712241786369,82,19.0
1712241787389,81,18.9
1712241788366,81,19.3
1712241789392,81,19.4
1712241790365,80,19.5
1712241791387,80,19.5
1712241792409,80,19.4
1712241793385,79,19.6
1712241794361,78,19.6
1712241795387,78,19.5
1712241796461,77,19.0
1712241797393,77,19.0
1712241798406,76,20.7
1712241799385,75,17.6
1712241800405,75,17.6
1712241801384,75,16.9
1712241802403,75,15.3
1712241803381,74,15.3
1712241804407,74,15.5
1712241805379,74,15.5
1712241806403,74,15.5
1712241807377,74,15.4
1712241808404,74,18.6
1712241809377,76,18.5
1712241810399,76,18.5
1712241811379,77,18.5
1712241812398,78,19.0
1712241813377,79,18.9
1712241814400,80,18.9
1712241815419,81,18.8
1712241816406,81,18.7
1712241817420,81,18.7
1712241818445,81,19.0
1712241819375,81,20.0
1712241820397,81,18.2
1712241821369,81,18.2
1712241822398,81,16.3
1712241823367,81,16.3
1712241824393,82,16.3
1712241825366,81,16.3
1712241826391,81,16.2
1712241827369,81,17.0
1712241828395,80,17.1
1712241829368,80,11.9
1712241830436,80,12.1
1712241831365,80,12.6
1712241832390,80,13.2
1712241833361,80,12.6
1712241834388,79,12.0
1712241835369,79,12.0
1712241836432,80,12.0
1712241837409,80,11.9
1712241838385,79,12.1
