x,y,z,timestamp
-17,-4,60,1712819484000000
-18,-4,60,1712819484031250
-17,-2,61,1712819484062500
-20,-3,62,1712819484093750
-24,-3,65,1712819484125000
-24,0,65,1712819484156250
-24,-2,65,1712819484187500
-28,0,71,1712819484218750
-26,0,69,1712819484250000
-29,0,67,1712819484281250
-33,-5,64,1712819484312500
-31,-7,61,1712819484343750
-24,-14,55,1712819484375000
-19,-18,53,1712819484406250
-17,-22,50,1712819484437500
-16,-27,43,1712819484468750
-15,-29,43,1712819484500000
-16,-32,44,1712819484531250
-14,-35,46,1712819484562500
-14,-33,48,1712819484593750
-15,-29,49,1712819484625000
-15,-34,52,1712819484656250
-18,-28,56,1712819484687500
-13,-26,58,1712819484718750
-18,-27,56,1712819484750000
-14,-29,52,1712819484781250
-24,-28,48,1712819484812500
-32,-32,45,1712819484843750
-35,-35,40,1712819484875000
-34,-34,39,1712819484906250
-35,-37,34,1712819484937500
-39,-40,27,1712819484968750
-41,-40,27,1712819485000000
-37,-41,26,1712819485031250
-38,-45,22,1712819485062500
-42,-47,18,1712819485093750
-37,-45,17,1712819485125000
-36,-47,17,1712819485156250
-38,-47,12,1712819485187500
-36,-47,11,1712819485218750
-40,-52,10,1712819485250000
-41,-50,6,1712819485281250
-41,-48,5,1712819485312500
-42,-50,9,1712819485343750
-42,-51,8,1712819485375000
-39,-51,6,1712819485406250
-36,-52,10,1712819485437500
-34,-53,9,1712819485468750
-33,-53,6,1712819485500000
-33,-54,7,1712819485531250
-33,-55,7,1712819485562500
-30,-54,9,1712819485593750
-31,-55,11,1712819485625000
-28,-55,7,1712819485656250
-26,-55,9,1712819485687500
-28,-55,13,1712819485718750
-27,-52,15,1712819485750000
-24,-52,17,1712819485781250
-29,-54,13,1712819485812500
-29,-55,9,1712819485843750
-29,-57,9,1712819485875000
-30,-57,8,1712819485906250
-30,-56,8,1712819485937500
-27,-56,10,1712819485968750
-27,-55,10,1712819486000000
-28,-55,10,1712819486031250
-27,-56,9,1712819486062500
-29,-56,8,1712819486093750
-29,-56,8,1712819486125000
-29,-55,9,1712819486156250
-29,-55,10,1712819486187500
-30,-56,8,1712819486218750
-28,-55,10,1712819486250000
-28,-55,10,1712819486281250
-26,-56,7,1712819486312500
-28,-57,6,1712819486343750
-25,-57,7,1712819486375000
-26,-57,6,1712819486406250
-30,-57,6,1712819486437500
-30,-56,6,1712819486468750
-30,-56,7,1712819486500000
-30,-55,7,1712819486531250
-32,-56,6,1712819486562500
-32,-56,6,1712819486593750
-30,-55,7,1712819486625000
-29,-55,8,1712819486656250
-30,-55,8,1712819486687500
-30,-55,7,1712819486718750
-30,-56,7,1712819486750000
-30,-56,7,1712819486781250
-29,-56,8,1712819486812500
-29,-56,7,1712819486843750
-30,-55,7,1712819486875000
-30,-55,8,1712819486906250
-29,-55,9,1712819486937500
-31,-55,9,1712819486968750
-32,-55,9,1712819487000000
-31,-55,8,1712819487031250
-30,-55,9,1712819487062500
-30,-55,8,1712819487093750
-29,-55,8,1712819487125000
-30,-55,8,1712819487156250
-30,-55,8,1712819487187500
-30,-55,8,1712819487218750
-30,-55,8,1712819487250000
-31,-55,8,1712819487281250
-31,-55,8,1712819487312500
-30,-55,9,1712819487343750
-30,-55,8,1712819487375000
-31,-55,8,1712819487406250
-31,-55,9,1712819487437500
-31,-55,8,1712819487468750
-30,-55,7,1712819487500000
-30,-56,7,1712819487531250
-30,-56,7,1712819487562500
-31,-55,8,1712819487593750
-30,-55,8,1712819487625000
-30,-55,8,1712819487656250
-30,-55,9,1712819487687500
-30,-55,9,1712819487718750
-29,-55,10,1712819487750000
-28,-55,9,1712819487781250
-28,-55,9,1712819487812500
-31,-56,6,1712819487843750
-32,-56,6,1712819487875000
-30,-55,7,1712819487906250
-31,-55,8,1712819487937500
-30,-55,8,1712819487968750
-29,-55,9,1712819488000000
-30,-55,8,1712819488031250
-30,-55,7,1712819488062500
-30,-56,7,1712819488093750
-30,-56,7,1712819488125000
