value,timestamp
109.0,1712021966000000
109.0,1712021967000000
97.0,1712021968000000
90.5,1712021969000000
89.0,1712021970000000
85.33,1712021971000000
82.71,1712021972000000
80.75,1712021973000000
79.44,1712021974000000
78.5,1712021975000000
78.0,1712021976000000
77.67,1712021977000000
77.46,1712021978000000
77.29,1712021979000000
77.13,1712021980000000
77.0,1712021981000000
76.82,1712021982000000
76.67,1712021983000000
76.47,1712021984000000
76.3,1712021985000000
76.19,1712021986000000
76.14,1712021987000000
76.17,1712021988000000
76.29,1712021989000000
76.48,1712021990000000
76.69,1712021991000000
76.89,1712021992000000
77.07,1712021993000000
77.21,1712021994000000
77.33,1712021995000000
77.48,1712021996000000
77.62,1712021997000000
77.79,1712021998000000
77.94,1712021999000000
78.11,1712022000000000
78.28,1712022001000000
78.49,1712022002000000
78.71,1712022003000000
78.92,1712022004000000
79.15,1712022005000000
79.39,1712022006000000
79.64,1712022007000000
79.88,1712022008000000
80.09,1712022009000000
80.33,1712022010000000
80.57,1712022011000000
80.79,1712022012000000
81.06,1712022013000000
81.31,1712022014000000
81.52,1712022015000000
81.73,1712022016000000
81.87,1712022017000000
81.98,1712022018000000
82.09,1712022019000000
82.25,1712022020000000
82.39,1712022021000000
82.53,1712022022000000
82.64,1712022023000000
82.75,1712022024000000
82.7,1712022025000000
82.23,1712022026000000
81.75,1712022027000000
81.92,1712022028000000
82.13,1712022029000000
82.15,1712022030000000
82.43,1712022031000000
82.72,1712022032000000
83.03,1712022033000000
83.4,1712022034000000
83.73,1712022035000000
84.02,1712022036000000
84.28,1712022037000000
84.57,1712022038000000
84.88,1712022039000000
85.27,1712022040000000
85.63,1712022041000000
86.02,1712022042000000
86.4,1712022043000000
86.8,1712022044000000
87.18,1712022045000000
87.57,1712022046000000
87.92,1712022047000000
88.22,1712022048000000
88.47,1712022049000000
88.67,1712022050000000
88.83,1712022051000000
88.98,1712022052000000
89.15,1712022053000000
89.33,1712022054000000
89.53,1712022055000000
89.72,1712022056000000
89.95,1712022057000000
90.18,1712022058000000
90.42,1712022059000000
90.63,1712022060000000
90.83,1712022061000000
91.0,1712022062000000
91.17,1712022063000000
91.33,1712022064000000
91.43,1712022065000000
91.53,1712022066000000
91.6,1712022067000000
91.72,1712022068000000
91.82,1712022069000000
91.85,1712022070000000
91.83,1712022071000000
91.82,1712022072000000
91.72,1712022073000000
91.45,1712022074000000
91.2,1712022075000000
90.95,1712022076000000
90.75,1712022077000000
90.57,1712022078000000
90.37,1712022079000000
90.1,1712022080000000
89.83,1712022081000000
89.57,1712022082000000
89.28,1712022083000000
89.02,1712022084000000
88.88,1712022085000000
88.73,1712022086000000
88.62,1712022087000000
88.48,1712022088000000
88.33,1712022089000000
88.22,1712022090000000
88.1,1712022091000000
87.98,1712022092000000
87.85,1712022093000000
87.67,1712022094000000
87.52,1712022095000000
87.4,1712022096000000
87.3,1712022097000000
87.15,1712022098000000
86.97,1712022099000000
86.68,1712022100000000
86.42,1712022101000000
86.15,1712022102000000
85.85,1712022103000000
85.52,1712022104000000
85.17,1712022105000000
84.78,1712022106000000
84.42,1712022107000000
84.05,1712022108000000
83.7,1712022109000000
83.37,1712022110000000
83.05,1712022111000000
82.73,1712022112000000
82.38,1712022113000000
82.02,1712022114000000
81.63,1712022115000000
81.25,1712022116000000
80.8,1712022117000000
80.33,1712022118000000
79.85,1712022119000000
79.37,1712022120000000
78.92,1712022121000000
78.47,1712022122000000
78.0,1712022123000000
77.55,1712022124000000
77.15,1712022125000000
76.75,1712022126000000
76.37,1712022127000000
75.93,1712022128000000
75.53,1712022129000000
75.17,1712022130000000
74.83,1712022131000000
74.5,1712022132000000
74.18,1712022133000000
74.05,1712022134000000
73.92,1712022135000000
73.78,1712022136000000
73.65,1712022137000000
73.52,1712022138000000
73.42,1712022139000000
73.35,1712022140000000
73.32,1712022141000000
73.28,1712022142000000
73.32,1712022143000000
73.33,1712022144000000
73.38,1712022145000000
73.43,1712022146000000
73.48,1712022147000000
73.5,1712022148000000
73.52,1712022149000000
73.5,1712022150000000
73.48,1712022151000000
73.47,1712022152000000
73.43,1712022153000000
73.37,1712022154000000
73.28,1712022155000000
73.15,1712022156000000
73.0,1712022157000000
72.88,1712022158000000
72.77,1712022159000000
72.68,1712022160000000
72.63,1712022161000000
72.6,1712022162000000
72.65,1712022163000000
72.78,1712022164000000
72.95,1712022165000000
73.15,1712022166000000
73.35,1712022167000000
73.55,1712022168000000
73.7,1712022169000000
73.73,1712022170000000
73.92,1712022171000000
74.1,1712022172000000
74.27,1712022173000000
74.42,1712022174000000
74.55,1712022175000000
74.68,1712022176000000
74.85,1712022177000000
75.02,1712022178000000
75.18,1712022179000000
75.37,1712022180000000
75.5,1712022181000000
75.6,1712022182000000
75.67,1712022183000000
75.72,1712022184000000
75.77,1712022185000000
75.78,1712022186000000
75.78,1712022187000000
75.75,1712022188000000
75.72,1712022189000000
75.67,1712022190000000
75.63,1712022191000000
75.6,1712022192000000
75.58,1712022193000000
75.55,1712022194000000
75.52,1712022195000000
75.48,1712022196000000
75.47,1712022197000000
75.47,1712022198000000
75.47,1712022199000000
75.45,1712022200000000
75.42,1712022201000000
75.4,1712022202000000
75.37,1712022203000000
75.33,1712022204000000
75.28,1712022205000000
75.22,1712022206000000
75.13,1712022207000000
75.05,1712022208000000
74.97,1712022209000000
74.88,1712022210000000
74.82,1712022211000000
74.75,1712022212000000
74.68,1712022213000000
74.62,1712022214000000
74.55,1712022215000000
74.5,1712022216000000
74.43,1712022217000000
74.35,1712022218000000
74.27,1712022219000000
74.2,1712022220000000
74.08,1712022221000000
73.97,1712022222000000
73.8,1712022223000000
73.6,1712022224000000
73.4,1712022225000000
73.2,1712022226000000
73.02,1712022227000000
72.85,1712022228000000
72.72,1712022229000000
72.7,1712022230000000
72.53,1712022231000000
