RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 211 | Timestamp: 1710985798342 ms | PPG(Green=2423297, Red=2423297, Ir=2423297) | ACC(X=8.72519016265869, Y=-2.06453847885132, Z=2.59863591194153) | HR=81 bpm | IBI=753 ms | Participant=P05
Row 218 | Timestamp: 1710985798623 ms | PPG(Green=2408005, Red=2408005, Ir=2408005) | ACC(X=8.6509428024292, Y=-2.45972275733948, Z=2.75910472869873) | HR=79 bpm | IBI=755 ms | Participant=P05
Row 219 | Timestamp: 1710985798663 ms | PPG(Green=2407391, Red=2407391, Ir=2407391) | ACC(X=8.5599308013916, Y=-0.986763119697571, Z=3.45367097854614) | HR=78 bpm | IBI=792 ms | Participant=P05
Row 220 | Timestamp: 1710985798703 ms | PPG(Green=2408764, Red=2408764, Ir=2408764) | ACC(X=8.04259872436523, Y=-1.65977394580841, Z=4.68233489990234) | HR=77 bpm | IBI=741 ms | Participant=P05
Row 221 | Timestamp: 1710985798743 ms | PPG(Green=2409879, Red=2409879, Ir=2409879) | ACC(X=8.2749195098877, Y=-5.08230924606323, Z=3.13273358345032) | HR=77 bpm | IBI=751 ms | Participant=P05
Row 222 | Timestamp: 1710985798784 ms | PPG(Green=2402086, Red=2402086, Ir=2402086) | ACC(X=8.38269710540771, Y=-6.27744245529175, Z=1.47295951843262) | HR=76 bpm | IBI=849 ms | Participant=P05
Row 223 | Timestamp: 1710985798824 ms | PPG(Green=2391257, Red=2391257, Ir=2391257) | ACC(X=8.31803035736084, Y=-5.04159307479858, Z=0.950837314128876) | HR=76 bpm | IBI=901 ms | Participant=P05
Row 224 | Timestamp: 1710985798864 ms | PPG(Green=2377793, Red=2377793, Ir=2377793) | ACC(X=8.50484466552734, Y=-4.87633419036865, Z=-1.4873298406601) | HR=75 bpm | IBI=859 ms | Participant=P05
Row 225 | Timestamp: 1710985798904 ms | PPG(Green=2372261, Red=2372261, Ir=2372261) | ACC(X=9.21857166290283, Y=-4.97453165054321, Z=-3.62611508369446) | HR=74 bpm | IBI=791 ms | Participant=P05
Row 226 | Timestamp: 1710985798944 ms | PPG(Green=2358703, Red=2358703, Ir=2358703) | ACC(X=8.45215320587158, Y=-5.47509860992432, Z=-3.52073264122009) | HR=74 bpm | IBI=779 ms | Participant=P05
Row 227 | Timestamp: 1710985798985 ms | PPG(Green=2338996, Red=2338996, Ir=2338996) | ACC(X=7.64022922515869, Y=-2.90999317169189, Z=0.299382030963898) | HR=73 bpm | IBI=856 ms | Participant=P05
