phoneTimestamp,hr,hrv
1710844278539,100,
1710844279608,100,
1710844280579,100,3.4
1710844281603,100,3.0
1710844282591,100,2.5
1710844283574,100,2.8
1710844284544,99,2.5
1710844285561,98,3.2
1710844286580,98,3.1
1710844287545,97,3.2
1710844288592,97,3.1
1710844289547,96,3.0
1710844290557,96,2.9
1710844291561,95,3.3
1710844292587,94,4.2
1710844293622,93,4.5
1710844294609,92,4.7
1710844295616,92,4.9
1710844296681,94,6.1
1710844297639,95,6.1
1710844298649,95,6.1
1710844299761,97,6.3
1710844300585,98,6.3
1710844301583,98,6.3
1710844302598,99,6.3
1710844303643,99,6.5
1710844304558,97,6.6
1710844305544,97,6.6
1710844306575,96,7.1
1710844307559,95,7.7
1710844308590,93,7.7
1710844309564,93,7.6
1710844310670,92,7.2
1710844311552,92,7.2
1710844312614,91,7.3
1710844313569,90,7.1
1710844314565,90,6.2
1710844315569,89,5.8
1710844316613,89,6.3
1710844317553,89,6.3
1710844318577,89,6.2
1710844319591,90,6.2
1710844320609,90,6.2
1710844321574,90,6.2
1710844322603,91,6.0
1710844323552,91,5.7
1710844324617,91,5.8
1710844325661,91,5.5
1710844326584,92,4.2
1710844327662,92,4.2
1710844328561,92,4.2
1710844329588,92,4.2
1710844330638,91,5.2
1710844331591,90,5.2
1710844332548,90,4.8
1710844333574,90,4.9
1710844334571,90,4.9
1710844335552,90,4.9
1710844336584,90,4.1
1710844337620,89,4.6
1710844338588,89,4.8
1710844339673,88,5.0
1710844340559,87,5.2
1710844341600,86,6.6
1710844342579,85,6.6
1710844343576,85,6.6
1710844344593,85,7.3
1710844345584,86,9.7
1710844346581,87,9.7
1710844347560,88,9.7
1710844348567,89,9.7
1710844349574,89,9.7
1710844350550,89,10.1
1710844351575,88,10.7
1710844352569,86,11.5
1710844353551,86,11.4
1710844354561,85,11.4
1710844355592,85,11.4
1710844356582,84,11.4
1710844357584,85,11.5
1710844358593,85,12.2
1710844359657,86,12.1
1710844360574,86,12.0
1710844361601,88,11.9
1710844362612,88,11.9
1710844363593,89,11.9
1710844364571,88,12.5
1710844365556,88,11.6
1710844366583,87,11.1
1710844367560,87,11.1
1710844368577,87,11.5
1710844369606,87,11.6
1710844370567,88,10.9
1710844371556,88,10.2
1710844372585,88,9.5
1710844373617,88,9.5
1710844374567,87,9.5
1710844375592,87,9.4
1710844376569,87,9.4
1710844377574,87,9.0
1710844378566,87,8.0
1710844379568,87,8.1
1710844380601,87,8.1
1710844381585,87,7.2
1710844382553,87,7.7
1710844383568,88,7.3
1710844384576,89,6.0
1710844385575,89,5.2
1710844386560,89,5.2
1710844387571,89,4.7
1710844388566,89,4.6
1710844389588,89,4.3
1710844390577,89,4.3
1710844391608,89,4.2
1710844392639,89,4.1
1710844393577,89,4.4
1710844394560,88,4.5
1710844395556,88,4.5
1710844396575,87,4.6
1710844397563,87,4.6
1710844398569,88,5.3
1710844399577,89,5.9
1710844400558,89,5.9
1710844401569,90,5.9
1710844402583,90,5.8
1710844403572,90,5.8
1710844404541,90,5.8
1710844405641,90,5.7
1710844406557,90,6.0
1710844407561,90,5.9
1710844408606,90,6.2
1710844409593,90,6.3
1710844410551,90,6.3
1710844411601,90,6.5
1710844412557,90,6.5
1710844413569,91,6.4
1710844414600,91,7.2
1710844415593,93,7.1
1710844416564,95,8.8
1710844417574,96,8.8
1710844418577,95,9.3
1710844419592,94,10.1
1710844420572,92,13.0
1710844421561,91,14.5
1710844422566,88,14.7
1710844423581,86,14.7
1710844424603,85,14.7
1710844425599,84,14.8
1710844426577,84,14.9
1710844427592,85,17.5
1710844428557,86,17.4
1710844429568,86,17.4
1710844430576,85,18.2
1710844431592,83,22.8
1710844432566,82,22.7
1710844433607,81,22.7
1710844434552,80,22.7
1710844435654,79,22.5
1710844436564,78,22.5
1710844437573,79,24.5
1710844438563,79,24.6
1710844439577,79,24.6
1710844440569,81,24.1
1710844441597,81,24.1
1710844442601,83,21.8
1710844443541,83,21.6
1710844444574,84,21.5
1710844445566,84,21.5
1710844446550,85,21.5
1710844447643,85,21.4
1710844448557,84,22.0
1710844449555,84,20.1
1710844450584,83,20.1
1710844451577,83,19.3
1710844452553,83,13.6
1710844453563,83,13.6
1710844454598,83,13.6
1710844455561,82,13.6
1710844456561,82,13.7
1710844457590,82,13.5
1710844458620,82,13.5
1710844459577,81,7.6
