phoneTimestamp,sensorTimestamp,ecg
1711037375607,599616057729745604,20064
1711037375614,599616057737410290,20064
1711037375622,599616057745074976,20064
1711037375629,599616057752739662,20064
1711037375637,599616057760404348,20064
1711037375645,599616057768069034,20064
1711037375652,599616057775733720,20064
1711037375660,599616057783398406,20064
1711037375668,599616057791063092,20064
1711037375675,599616057798727778,20064
1711037375683,599616057806392464,20064
1711037375691,599616057814057150,20064
1711037375697,599616057821721836,20064
1711037375705,599616057829386522,20064
1711037375713,599616057837051208,20064
1711037375721,599616057844715894,20064
1711037375729,599616057852380580,20064
1711037375737,599616057860045266,20064
1711037375744,599616057867709952,20064
1711037375752,599616057875374638,20064
1711037375760,599616057883039324,20064
1711037375767,599616057890704010,20064
1711037375775,599616057898368696,20064
1711037375783,599616057906033382,20064
1711037375790,599616057913698068,20064
1711037375798,599616057921362754,20064
1711037375806,599616057929027440,20064
1711037375813,599616057936692126,20064
1711037375821,599616057944356812,20064
1711037375829,599616057952021498,20064
1711037375836,599616057959686184,20064
1711037375844,599616057967350870,20064
1711037375852,599616057975015556,20064
1711037375859,599616057982680242,20064
1711037375867,599616057990344928,20064
1711037375875,599616057998009614,20064
1711037375881,599616058005674300,20064
1711037375889,599616058013338986,20064
1711037375897,599616058021003672,20064
1711037375905,599616058028668358,20064
1711037375913,599616058036333044,20064
1711037375921,599616058043997730,20064
1711037375928,599616058051662416,20064
1711037375936,599616058059327102,20064
1711037375944,599616058066991788,20064
1711037375951,599616058074656474,20064
1711037375959,599616058082321160,20064
1711037375967,599616058089985846,20064
1711037375974,599616058097650532,20064
1711037375982,599616058105315218,20064
1711037375990,599616058112979904,20064
1711037375997,599616058120644590,20064
1711037376005,599616058128309276,20064
1711037376013,599616058135973962,20064
1711037376020,599616058143638648,20064
1711037376028,599616058151303334,20064
1711037376036,599616058158968020,20064
1711037376043,599616058166632706,20064
1711037376051,599616058174297392,20064
1711037376059,599616058181962078,20064
1711037376065,599616058189626764,20064
1711037376073,599616058197291450,20064
1711037376081,599616058204956136,20064
1711037376089,599616058212620822,20064
1711037376097,599616058220285508,20064
1711037376105,599616058227950194,20064
1711037376112,599616058235614880,20064
1711037376120,599616058243279566,20064
1711037376128,599616058250944252,20064
1711037376135,599616058258608938,20064
1711037376143,599616058266273624,20064
1711037376151,599616058273938310,20064
1711037376158,599616058281602996,20064
1711037376166,599616058289297798,20064
1711037376174,599616058296962066,20064
1711037376181,599616058304626334,20064
1711037376189,599616058312290602,20064
1711037376197,599616058319954870,20064
1711037376204,599616058327619138,20064
1711037376212,599616058335283406,20064
1711037376220,599616058342947674,20064
1711037376227,599616058350611942,20064
1711037376235,599616058358276210,20064
1711037376243,599616058365940478,20064
1711037376249,599616058373604746,20064
1711037376257,599616058381269014,20064
1711037376265,599616058388933282,20064
1711037376273,599616058396597550,20064
1711037376281,599616058404261818,20064
1711037376289,599616058411926086,20064
1711037376296,599616058419590354,20064
1711037376304,599616058427254622,20064
1711037376312,599616058434918890,20064
1711037376319,599616058442583158,20064
1711037376327,599616058450247426,20064
1711037376335,599616058457911694,20064
1711037376342,599616058465575962,20064
1711037376350,599616058473240230,20064
1711037376358,599616058480904498,20064
1711037376365,599616058488568766,20064
1711037376373,599616058496233034,20064
1711037376381,599616058503897302,20064
1711037376388,599616058511561570,20064
1711037376396,599616058519225838,20064
1711037376404,599616058526890106,20064
1711037376411,599616058534554374,20064
1711037376419,599616058542218642,20064
1711037376427,599616058549882910,20064
1711037376433,599616058557547178,20064
1711037376441,599616058565211446,20064
1711037376449,599616058572875714,20064
1711037376457,599616058580539982,20064
1711037376465,599616058588204250,20064
1711037376473,599616058595868518,20064
1711037376480,599616058603532786,20064
1711037376488,599616058611197054,20064
1711037376496,599616058618861322,20064
1711037376503,599616058626525590,20064
1711037376511,599616058634189858,20064
1711037376519,599616058641854126,20064
1711037376526,599616058649518394,20064
1711037376534,599616058657182662,20064
1711037376542,599616058664846930,20064
1711037376549,599616058672511198,20064
1711037376557,599616058680175466,20064
1711037376565,599616058687839734,20064
1711037376572,599616058695504002,20064
1711037376580,599616058703168270,20064
1711037376588,599616058710832538,20064
1711037376595,599616058718496806,20064
1711037376603,599616058726161074,20064
1711037376611,599616058733825342,20064
1711037376617,599616058741489610,20064
1711037376625,599616058749153878,20064
1711037376633,599616058756818146,20064
1711037376641,599616058764482414,20064
1711037376649,599616058772146682,20064
1711037376657,599616058779810950,20064
1711037376664,599616058787475218,20064
1711037376672,599616058795139486,20064
1711037376680,599616058802803754,20064
1711037376687,599616058810468022,20064
1711037376695,599616058818132290,20064
1711037376703,599616058825796558,20064
1711037376710,599616058833460826,20064
1711037376718,599616058841125094,20064
1711037376726,599616058848759282,20064
1711037376733,599616058856423968,20064
1711037376741,599616058864088654,20064
1711037376749,599616058871753340,20064
1711037376756,599616058879418026,20064
1711037376764,599616058887082712,20064
1711037376772,599616058894747398,20064
1711037376779,599616058902412084,20064
1711037376787,599616058910076770,20064
1711037376793,599616058917741456,20064
1711037376801,599616058925406142,20064
1711037376809,599616058933070828,20064
1711037376817,599616058940735514,20064
1711037376825,599616058948400200,20064
1711037376833,599616058956064886,20064
1711037376840,599616058963729572,20064
1711037376848,599616058971394258,20064
1711037376856,599616058979058944,20064
1711037376863,599616058986723630,20064
1711037376871,599616058994388316,20064
1711037376879,599616059002053002,20064
1711037376886,599616059009717688,20064
1711037376894,599616059017382374,20064
1711037376902,599616059025047060,20064
1711037376909,599616059032711746,20064
1711037376917,599616059040376432,20064
1711037376925,599616059048041118,20064
1711037376932,599616059055705804,20064
1711037376940,599616059063370490,20064
1711037376948,599616059071035176,20064
1711037376955,599616059078699862,20064
1711037376963,599616059086364548,20064
1711037376971,599616059094029234,20064
1711037376977,599616059101693920,20064
1711037376985,599616059109358606,20064
1711037376993,599616059117023292,20064
