RowIndex,Reason,OriginalLine
25,HeartRate out of range,Row 25 | Timestamp: 1712226189898 ms | PPG(Green=2079854, Red=2079854, Ir=2079854) | ACC(X=-1.30530560016632, Y=-7.1061315536499, Z=6.90494680404663) | HR=0 bpm | IBI=0 ms | Participant=P22
26,HeartRate out of range,Row 26 | Timestamp: 1712226189938 ms | PPG(Green=2080025, Red=2080025, Ir=2080025) | ACC(X=-1.02987420558929, Y=-6.6031699180603, Z=7.30013132095337) | HR=0 bpm | IBI=0 ms | Participant=P22
27,HeartRate out of range,Row 27 | Timestamp: 1712226189979 ms | PPG(Green=2080151, Red=2080151, Ir=2080151) | ACC(X=-0.74725753068924, Y=-5.55892562866211, Z=8.5599308013916) | HR=0 bpm | IBI=0 ms | Participant=P22
28,HeartRate out of range,Row 28 | Timestamp: 1712226190019 ms | PPG(Green=2079916, Red=2079916, Ir=2079916) | ACC(X=-1.00592362880707, Y=-6.40198516845703, Z=7.55400705337524) | HR=0 bpm | IBI=0 ms | Participant=P22
29,HeartRate out of range,Row 29 | Timestamp: 1712226190059 ms | PPG(Green=2079994, Red=2079994, Ir=2079994) | ACC(X=0.148493483662605, Y=-5.16134595870972, Z=8.07133960723877) | HR=0 bpm | IBI=0 ms | Participant=P22
30,HeartRate out of range,Row 30 | Timestamp: 1712226190099 ms | PPG(Green=2080344, Red=2080344, Ir=2080344) | ACC(X=0.349678218364716, Y=-6.04272699356079, Z=7.61867380142212) | HR=0 bpm | IBI=0 ms | Participant=P22
31,HeartRate out of range,Row 31 | Timestamp: 1712226190139 ms | PPG(Green=2080015, Red=2080015, Ir=2080015) | ACC(X=0.483801364898682, Y=-6.22475099563599, Z=7.32887172698975) | HR=0 bpm | IBI=0 ms | Participant=P22
32,HeartRate out of range,Row 32 | Timestamp: 1712226190180 ms | PPG(Green=2080018, Red=2080018, Ir=2080018) | ACC(X=0.12454292178154, Y=-6.91452741622925, Z=6.9193172454834) | HR=0 bpm | IBI=0 ms | Participant=P22
33,HeartRate out of range,Row 33 | Timestamp: 1712226190219 ms | PPG(Green=2079866, Red=2079866, Ir=2079866) | ACC(X=0.0287406742572784, Y=-7.09176158905029, Z=7.18037843704224) | HR=0 bpm | IBI=0 ms | Participant=P22
34,HeartRate out of range,Row 34 | Timestamp: 1712226190259 ms | PPG(Green=2080087, Red=2080087, Ir=2080087) | ACC(X=-1.377157330513, Y=-7.45101976394653, Z=5.8247766494751) | HR=0 bpm | IBI=0 ms | Participant=P22
35,HeartRate out of range,Row 35 | Timestamp: 1712226190299 ms | PPG(Green=2080867, Red=2080867, Ir=2080867) | ACC(X=0.931676864624023, Y=-6.79237937927246, Z=6.84267568588257) | HR=0 bpm | IBI=0 ms | Participant=P22
36,HeartRate out of range,Row 36 | Timestamp: 1712226190339 ms | PPG(Green=2082566, Red=2082566, Ir=2082566) | ACC(X=1.16878747940063, Y=-6.71813249588013, Z=6.23912143707275) | HR=0 bpm | IBI=0 ms | Participant=P22
37,HeartRate out of range,Row 37 | Timestamp: 1712226190380 ms | PPG(Green=2083939, Red=2083939, Ir=2083939) | ACC(X=0.546072840690613, Y=-6.88339138031006, Z=5.30744457244873) | HR=0 bpm | IBI=0 ms | Participant=P22
38,HeartRate out of range,Row 38 | Timestamp: 1712226190420 ms | PPG(Green=2084348, Red=2084348, Ir=2084348) | ACC(X=-0.320937514305115, Y=-7.23067474365234, Z=5.57569074630737) | HR=0 bpm | IBI=0 ms | Participant=P22
39,HeartRate out of range,Row 39 | Timestamp: 1712226190459 ms | PPG(Green=2084964, Red=2084964, Ir=2084964) | ACC(X=2.65132713317871, Y=-9.59220027923584, Z=7.54203176498413) | HR=0 bpm | IBI=0 ms | Participant=P22
40,HeartRate out of range,Row 40 | Timestamp: 1712226190499 ms | PPG(Green=2089514, Red=2089514, Ir=2089514) | ACC(X=0.213160008192062, Y=-8.0138578414917, Z=5.69304847717285) | HR=0 bpm | IBI=0 ms | Participant=P22
41,HeartRate out of range,Row 41 | Timestamp: 1712226190540 ms | PPG(Green=2110481, Red=2110481, Ir=2110481) | ACC(X=0.162863820791245, Y=-7.38156318664551, Z=3.23811602592468) | HR=0 bpm | IBI=0 ms | Participant=P22
42,HeartRate out of range,Row 42 | Timestamp: 1712226190581 ms | PPG(Green=2197754, Red=2197754, Ir=2197754) | ACC(X=0.452665627002716, Y=-10.4927415847778, Z=3.26206660270691) | HR=0 bpm | IBI=0 ms | Participant=P22
43,HeartRate out of range,Row 43 | Timestamp: 1712226190620 ms | PPG(Green=2325063, Red=2325063, Ir=2325063) | ACC(X=-0.74725753068924, Y=-8.27252388000488, Z=2.38308095932007) | HR=0 bpm | IBI=0 ms | Participant=P22
44,HeartRate out of range,Row 44 | Timestamp: 1712226190660 ms | PPG(Green=2405965, Red=2405965, Ir=2405965) | ACC(X=-0.555653035640717, Y=-9.3862247467041, Z=1.99747681617737) | HR=0 bpm | IBI=0 ms | Participant=P22
45,HeartRate out of range,Row 45 | Timestamp: 1712226190700 ms | PPG(Green=2409471, Red=2409471, Ir=2409471) | ACC(X=-0.867010354995728, Y=-10.9166660308838, Z=4.10512638092041) | HR=0 bpm | IBI=0 ms | Participant=P22
46,HeartRate out of range,Row 46 | Timestamp: 1712226190740 ms | PPG(Green=2751098, Red=2751098, Ir=2751098) | ACC(X=-2.16513085365295, Y=-9.49879264831543, Z=1.55918157100677) | HR=0 bpm | IBI=0 ms | Participant=P22
47,HeartRate out of range,Row 47 | Timestamp: 1712226190781 ms | PPG(Green=2910926, Red=2910926, Ir=2910926) | ACC(X=0.112567640841007, Y=-10.008939743042, Z=1.480144739151) | HR=0 bpm | IBI=0 ms | Participant=P22
48,HeartRate out of range,Row 48 | Timestamp: 1712226190820 ms | PPG(Green=2756211, Red=2756211, Ir=2756211) | ACC(X=1.55199646949768, Y=-8.32761001586914, Z=3.53989315032959) | HR=0 bpm | IBI=0 ms | Participant=P22
49,HeartRate out of range,Row 49 | Timestamp: 1712226190860 ms | PPG(Green=2725268, Red=2725268, Ir=2725268) | ACC(X=-2.29685878753662, Y=-9.40778064727783, Z=5.99243068695068) | HR=0 bpm | IBI=0 ms | Participant=P22
50,HeartRate out of range,Row 50 | Timestamp: 1712226190901 ms | PPG(Green=2716453, Red=2716453, Ir=2716453) | ACC(X=-2.62498164176941, Y=-8.26054859161377, Z=7.19953870773315) | HR=0 bpm | IBI=0 ms | Participant=P22
51,HeartRate out of range,Row 51 | Timestamp: 1712226190941 ms | PPG(Green=2678327, Red=2678327, Ir=2678327) | ACC(X=-0.311357319355011, Y=-9.78140926361084, Z=1.53762602806091) | HR=0 bpm | IBI=0 ms | Participant=P22
52,HeartRate out of range,Row 52 | Timestamp: 1712226190982 ms | PPG(Green=2626272, Red=2626272, Ir=2626272) | ACC(X=-0.665825605392456, Y=-12.5309343338013, Z=-0.7400723695755) | HR=0 bpm | IBI=0 ms | Participant=P22
53,HeartRate out of range,Row 53 | Timestamp: 1712226191021 ms | PPG(Green=3022500, Red=3022500, Ir=3022500) | ACC(X=-2.37829089164734, Y=-10.2292852401733, Z=-1.56157660484314) | HR=0 bpm | IBI=0 ms | Participant=P22
54,HeartRate out of range,Row 54 | Timestamp: 1712226191061 ms | PPG(Green=3832645, Red=3832645, Ir=3832645) | ACC(X=-2.56989526748657, Y=-12.8303155899048, Z=4.0021390914917) | HR=0 bpm | IBI=0 ms | Participant=P22
55,HeartRate out of range,Row 55 | Timestamp: 1712226191101 ms | PPG(Green=3455909, Red=3455909, Ir=3455909) | ACC(X=-2.62019157409668, Y=-11.7070350646973, Z=0.445480465888977) | HR=0 bpm | IBI=0 ms | Participant=P22
56,HeartRate out of range,Row 56 | Timestamp: 1712226191144 ms | PPG(Green=2970733, Red=2970733, Ir=2970733) | ACC(X=-2.77826523780823, Y=-2.93873405456543, Z=-1.24542927742004) | HR=0 bpm | IBI=0 ms | Participant=P22
57,HeartRate out of range,Row 57 | Timestamp: 1712226191182 ms | PPG(Green=3190017, Red=3190017, Ir=3190017) | ACC(X=-1.53283596038818, Y=-4.59850788116455, Z=-0.285011678934097) | HR=0 bpm | IBI=0 ms | Participant=P22
58,HeartRate out of range,Row 58 | Timestamp: 1712226191221 ms | PPG(Green=2992933, Red=2992933, Ir=2992933) | ACC(X=-1.86335372924805, Y=-5.21643257141113, Z=-1.12567639350891) | HR=0 bpm | IBI=0 ms | Participant=P22
59,HeartRate out of range,Row 59 | Timestamp: 1712226191261 ms | PPG(Green=2997445, Red=2997445, Ir=2997445) | ACC(X=-1.2166885137558, Y=-9.30718803405762, Z=-8.26773357391357) | HR=0 bpm | IBI=0 ms | Participant=P22
60,HeartRate out of range,Row 60 | Timestamp: 1712226191301 ms | PPG(Green=3409222, Red=3409222, Ir=3409222) | ACC(X=-7.55161237716675, Y=-14.7607316970825, Z=-8.02822875976563) | HR=0 bpm | IBI=0 ms | Participant=P22
61,HeartRate out of range,Row 61 | Timestamp: 1712226191341 ms | PPG(Green=3370410, Red=3370410, Ir=3370410) | ACC(X=-1.47774970531464, Y=-5.07751893997192, Z=-2.34715509414673) | HR=0 bpm | IBI=0 ms | Participant=P22
62,HeartRate out of range,Row 62 | Timestamp: 1712226191382 ms | PPG(Green=4183331, Red=4183331, Ir=4183331) | ACC(X=-3.6620409488678, Y=-4.11949682235718, Z=-3.44169569015503) | HR=0 bpm | IBI=0 ms | Participant=P22
63,HeartRate out of range,Row 63 | Timestamp: 1712226191422 ms | PPG(Green=4181844, Red=4181844, Ir=4181844) | ACC(X=-2.09567427635193, Y=-17.3928985595703, Z=-2.73754930496216) | HR=0 bpm | IBI=0 ms | Participant=P22
64,HeartRate out of range,Row 64 | Timestamp: 1712226191462 ms | PPG(Green=4182551, Red=4182551, Ir=4182551) | ACC(X=-6.06188726425171, Y=-7.21390914916992, Z=-2.64174699783325) | HR=0 bpm | IBI=0 ms | Participant=P22
65,HeartRate out of range,Row 65 | Timestamp: 1712226191502 ms | PPG(Green=4182274, Red=4182274, Ir=4182274) | ACC(X=-4.42606401443482, Y=-6.72292280197144, Z=-1.99747681617737) | HR=0 bpm | IBI=0 ms | Participant=P22
66,HeartRate out of range,Row 66 | Timestamp: 1712226191542 ms | PPG(Green=4180599, Red=4180599, Ir=4180599) | ACC(X=-2.56750011444092, Y=-9.14432430267334, Z=-5.97087526321411) | HR=0 bpm | IBI=0 ms | Participant=P22
67,HeartRate out of range,Row 67 | Timestamp: 1712226191583 ms | PPG(Green=4181552, Red=4181552, Ir=4181552) | ACC(X=0.605949223041534, Y=-5.47270345687866, Z=-4.31589126586914) | HR=0 bpm | IBI=0 ms | Participant=P22
68,HeartRate out of range,Row 68 | Timestamp: 1712226191622 ms | PPG(Green=4179633, Red=4179633, Ir=4179633) | ACC(X=1.18555283546448, Y=-7.53484678268433, Z=-3.03214120864868) | HR=0 bpm | IBI=0 ms | Participant=P22
69,HeartRate out of range,Row 69 | Timestamp: 1712226191662 ms | PPG(Green=4182747, Red=4182747, Ir=4182747) | ACC(X=-4.4595947265625, Y=-5.58527088165283, Z=-0.869405388832092) | HR=0 bpm | IBI=0 ms | Participant=P22
70,HeartRate out of range,Row 70 | Timestamp: 1712226191702 ms | PPG(Green=4194465, Red=4194465, Ir=4194465) | ACC(X=-8.27731418609619, Y=2.85490703582764, Z=-6.9624285697937) | HR=0 bpm | IBI=0 ms | Participant=P22
71,HeartRate out of range,Row 71 | Timestamp: 1712226191743 ms | PPG(Green=4194735, Red=4194735, Ir=4194735) | ACC(X=-5.42480230331421, Y=-6.90973711013794, Z=-4.81406307220459) | HR=0 bpm | IBI=0 ms | Participant=P22
72,HeartRate out of range,Row 72 | Timestamp: 1712226191783 ms | PPG(Green=4181337, Red=4181337, Ir=4181337) | ACC(X=-0.907726287841797, Y=-7.40790891647339, Z=-3.92789220809936) | HR=0 bpm | IBI=0 ms | Participant=P22
73,HeartRate out of range,Row 73 | Timestamp: 1712226191823 ms | PPG(Green=4173907, Red=4173907, Ir=4173907) | ACC(X=-1.892094373703, Y=-2.39266109466553, Z=-10.9286413192749) | HR=0 bpm | IBI=0 ms | Participant=P22
74,IBI out of range,Row 74 | Timestamp: 1712226191863 ms | PPG(Green=4158407, Red=4158407, Ir=4158407) | ACC(X=-6.82591009140015, Y=-3.93747234344482, Z=-16.5067272186279) | HR=45 bpm | IBI=0 ms | Participant=P22
75,IBI out of range,Row 75 | Timestamp: 1712226191903 ms | PPG(Green=4166302, Red=4166302, Ir=4166302) | ACC(X=-3.46325135231018, Y=-15.6732473373413, Z=-8.40904235839844) | HR=58 bpm | IBI=0 ms | Participant=P22
76,HeartRate out of range,Row 76 | Timestamp: 1712226191943 ms | PPG(Green=4171027, Red=4171027, Ir=4171027) | ACC(X=-2.21542692184448, Y=-5.45354270935059, Z=-4.98650693893433) | HR=0 bpm | IBI=0 ms | Participant=P22
77,HeartRate out of range,Row 77 | Timestamp: 1712226191984 ms | PPG(Green=4165868, Red=4165868, Ir=4165868) | ACC(X=-0.845454812049866, Y=-4.94818592071533, Z=-2.1172297000885) | HR=0 bpm | IBI=0 ms | Participant=P22
78,HeartRate out of range,Row 78 | Timestamp: 1712226192023 ms | PPG(Green=4164666, Red=4164666, Ir=4164666) | ACC(X=-3.25727653503418, Y=-4.94818592071533, Z=-2.32559967041016) | HR=0 bpm | IBI=0 ms | Participant=P22
79,HeartRate out of range,Row 79 | Timestamp: 1712226192063 ms | PPG(Green=4163363, Red=4163363, Ir=4163363) | ACC(X=-4.61048316955566, Y=-8.99822616577148, Z=-3.50396728515625) | HR=0 bpm | IBI=0 ms | Participant=P22
80,HeartRate out of range,Row 80 | Timestamp: 1712226192104 ms | PPG(Green=4163583, Red=4163583, Ir=4163583) | ACC(X=-1.58552718162537, Y=-11.2136526107788, Z=-3.78418874740601) | HR=0 bpm | IBI=0 ms | Participant=P22
81,HeartRate out of range,Row 81 | Timestamp: 1712226192144 ms | PPG(Green=4165279, Red=4165279, Ir=4165279) | ACC(X=-0.44308540225029, Y=-10.6723699569702, Z=-2.8453266620636) | HR=0 bpm | IBI=0 ms | Participant=P22
82,IBI out of range,Row 82 | Timestamp: 1712226192184 ms | PPG(Green=4164778, Red=4164778, Ir=4164778) | ACC(X=-1.171182513237, Y=-8.65333843231201, Z=-2.15555047988892) | HR=60 bpm | IBI=0 ms | Participant=P22
83,IBI out of range,Row 83 | Timestamp: 1712226192224 ms | PPG(Green=4166664, Red=4166664, Ir=4166664) | ACC(X=-2.23219227790833, Y=-11.4244184494019, Z=-1.72444045543671) | HR=63 bpm | IBI=0 ms | Participant=P22
84,IBI out of range,Row 84 | Timestamp: 1712226192264 ms | PPG(Green=4172198, Red=4172198, Ir=4172198) | ACC(X=-2.25853800773621, Y=-9.89876747131348, Z=-6.3253436088562) | HR=64 bpm | IBI=0 ms | Participant=P22
86,IBI out of range,Row 86 | Timestamp: 1712226192344 ms | PPG(Green=4173592, Red=4173592, Ir=4173592) | ACC(X=-0.356863379478455, Y=-9.39580535888672, Z=-2.93154883384705) | HR=61 bpm | IBI=0 ms | Participant=P22
87,IBI out of range,Row 87 | Timestamp: 1712226192385 ms | PPG(Green=4175578, Red=4175578, Ir=4175578) | ACC(X=-3.42732548713684, Y=-9.17306518554688, Z=-3.26206660270691) | HR=63 bpm | IBI=0 ms | Participant=P22
88,IBI out of range,Row 88 | Timestamp: 1712226192424 ms | PPG(Green=4171044, Red=4171044, Ir=4171044) | ACC(X=-2.66809248924255, Y=-7.41748905181885, Z=-2.23458743095398) | HR=62 bpm | IBI=0 ms | Participant=P22
89,IBI out of range,Row 89 | Timestamp: 1712226192465 ms | PPG(Green=4167385, Red=4167385, Ir=4167385) | ACC(X=-3.51115226745605, Y=-7.30971145629883, Z=-4.14105224609375) | HR=65 bpm | IBI=0 ms | Participant=P22
90,IBI out of range,Row 90 | Timestamp: 1712226192505 ms | PPG(Green=4166056, Red=4166056, Ir=4166056) | ACC(X=-3.37702918052673, Y=-7.67136478424072, Z=-3.51833748817444) | HR=66 bpm | IBI=0 ms | Participant=P22
