phoneTimestamp,sensorTimestamp,ecg
1710767730353,599616154806473118,1227
1710767730361,599616154814134738,1815
1710767730369,599616154821796358,2517
1710767730376,599616154829457978,3304
1710767730384,599616154837119598,3899
1710767730392,599616154844781218,4464
1710767730399,599616154852442838,5040
1710767730407,599616154860104458,5545
1710767730415,599616154867766078,6041
1710767730422,599616154875427698,6502
1710767730430,599616154883089318,6883
1710767730438,599616154890750938,7264
1710767730445,599616154898412558,7672
1710767730453,599616154906074178,8053
1710767730461,599616154913735798,8382
1710767730468,599616154921397418,8685
1710767730476,599616154929059038,9002
1710767730484,599616154936720658,9328
1710767730491,599616154944382278,9612
1710767730499,599616154952043898,9846
1710767730507,599616154959705518,10115
1710767730513,599616154967367138,10376
1710767730521,599616154975028758,10511
1710767730529,599616154982690378,10675
1710767730537,599616154990351998,10942
1710767730545,599616154998013618,11128
1710767730553,599616155005675238,11268
1710767730560,599616155013336858,11457
1710767730568,599616155020998478,11619
1710767730576,599616155028660098,11729
1710767730583,599616155036321718,11836
1710767730591,599616155043983338,11970
1710767730599,599616155051644958,12154
1710767730606,599616155059306578,12336
1710767730614,599616155066968198,12376
1710767730622,599616155074629818,12376
1710767730629,599616155082291438,12508
1710767730637,599616155089953058,12585
1710767730645,599616155097614678,12573
1710767730652,599616155105276298,12662
1710767730660,599616155112937918,12762
1710767730668,599616155120599538,12762
1710767730675,599616155128261158,12767
1710767730683,599616155135922778,12849
1710767730691,599616155143584398,12944
1710767730697,599616155151246018,12939
1710767730705,599616155158907638,12877
1710767730713,599616155166569258,12884
1710767730721,599616155174230878,12899
1710767730729,599616155181892498,12969
1710767730737,599616155189554118,13367
1710767730744,599616155197215738,13985
1710767730752,599616155204877358,14181
1710767730760,599616155212538978,13621
1710767730767,599616155220200598,12844
1710767730775,599616155227862218,12600
1710767730783,599616155235523838,12757
1710767730790,599616155243185458,12672
1710767730798,599616155250847078,12466
1710767730806,599616155258508698,12495
1710767730813,599616155266170318,12528
1710767730821,599616155273831938,12413
1710767730829,599616155281493558,12371
1710767730836,599616155289155178,12398
1710767730844,599616155296816798,12334
1710767730852,599616155304478418,12256
1710767730859,599616155312140038,12194
1710767730867,599616155319801658,12077
1710767730873,599616155327463278,12015
1710767730881,599616155335124898,11965
1710767730889,599616155342786518,11843
1710767730897,599616155350448138,11788
1710767730905,599616155358109758,11766
1710767730913,599616155365766378,11669
1710767730920,599616155373428068,11602
1710767730928,599616155381089758,11582
1710767730936,599616155388751448,11479
1710767730943,599616155396413138,11350
1710767730951,599616155404074828,11293
1710767730959,599616155411736518,11258
1710767730966,599616155419398208,11171
1710767730974,599616155427059898,11026
1710767730982,599616155434721588,10929
1710767730989,599616155442383278,10917
1710767730997,599616155450044968,10762
1710767731005,599616155457706658,10481
1710767731012,599616155465368348,10396
1710767731020,599616155473030038,10364
1710767731028,599616155480691728,10167
1710767731035,599616155488353418,10035
1710767731043,599616155496015108,10033
1710767731051,599616155503676798,9980
1710767731057,599616155511338488,9838
1710767731065,599616155519000178,9679
1710767731073,599616155526661868,9579
1710767731081,599616155534323558,9512
1710767731089,599616155541985248,9405
1710767731097,599616155549646938,9318
1710767731104,599616155557308628,9256
1710767731112,599616155564970318,9089
1710767731120,599616155572632008,8912
1710767731127,599616155580293698,8842
1710767731135,599616155587955388,8800
1710767731143,599616155595617078,8720
1710767731150,599616155603278768,8631
1710767731158,599616155610940458,8519
1710767731166,599616155618602148,8404
1710767731173,599616155626263838,8347
1710767731181,599616155633925528,8240
1710767731189,599616155641587218,8098
1710767731196,599616155649248908,8043
1710767731204,599616155656910598,7931
1710767731212,599616155664572288,7732
