RowIndex,Reason,OriginalLine
25,HeartRate out of range,Row 25 | Timestamp: 1711604682582 ms | PPG(Green=2121312, Red=2121312, Ir=2121312) | ACC(X=-2.16992092132568, Y=-1.25261437892914, Z=9.43891620635986) | HR=0 bpm | IBI=0 ms | Participant=P13
26,HeartRate out of range,Row 26 | Timestamp: 1711604682623 ms | PPG(Green=2121161, Red=2121161, Ir=2121161) | ACC(X=-1.789106965065, Y=-1.89688444137573, Z=9.47723770141602) | HR=0 bpm | IBI=0 ms | Participant=P13
27,HeartRate out of range,Row 27 | Timestamp: 1711604682662 ms | PPG(Green=2119640, Red=2119640, Ir=2119640) | ACC(X=-1.59510743618011, Y=-1.88011908531189, Z=9.69039726257324) | HR=0 bpm | IBI=0 ms | Participant=P13
28,HeartRate out of range,Row 28 | Timestamp: 1711604682703 ms | PPG(Green=2120336, Red=2120336, Ir=2120336) | ACC(X=-1.94478559494019, Y=-1.3579968214035, Z=9.76943397521973) | HR=0 bpm | IBI=0 ms | Participant=P13
29,HeartRate out of range,Row 29 | Timestamp: 1711604682743 ms | PPG(Green=2121756, Red=2121756, Ir=2121756) | ACC(X=-1.67174923419952, Y=-0.610739350318909, Z=9.49879264831543) | HR=0 bpm | IBI=0 ms | Participant=P13
30,HeartRate out of range,Row 30 | Timestamp: 1711604682783 ms | PPG(Green=2122650, Red=2122650, Ir=2122650) | ACC(X=-1.9495757818222, Y=-1.58552718162537, Z=9.53711414337158) | HR=0 bpm | IBI=0 ms | Participant=P13
31,HeartRate out of range,Row 31 | Timestamp: 1711604682824 ms | PPG(Green=2122601, Red=2122601, Ir=2122601) | ACC(X=-1.8729339838028, Y=-1.62863826751709, Z=9.70716285705566) | HR=0 bpm | IBI=0 ms | Participant=P13
32,HeartRate out of range,Row 32 | Timestamp: 1711604682863 ms | PPG(Green=2122387, Red=2122387, Ir=2122387) | ACC(X=-1.98310649394989, Y=-1.59750247001648, Z=9.33592891693115) | HR=0 bpm | IBI=0 ms | Participant=P13
33,HeartRate out of range,Row 33 | Timestamp: 1711604682903 ms | PPG(Green=2121977, Red=2121977, Ir=2121977) | ACC(X=-1.92323017120361, Y=-1.65977394580841, Z=9.30718803405762) | HR=0 bpm | IBI=0 ms | Participant=P13
34,HeartRate out of range,Row 34 | Timestamp: 1711604682943 ms | PPG(Green=2122000, Red=2122000, Ir=2122000) | ACC(X=-1.89927959442139, Y=-1.72923052310944, Z=9.51316356658936) | HR=0 bpm | IBI=0 ms | Participant=P13
35,HeartRate out of range,Row 35 | Timestamp: 1711604682983 ms | PPG(Green=2121988, Red=2121988, Ir=2121988) | ACC(X=-2.05256319046021, Y=-1.54960131645203, Z=9.48202705383301) | HR=0 bpm | IBI=0 ms | Participant=P13
36,HeartRate out of range,Row 36 | Timestamp: 1711604683024 ms | PPG(Green=2122233, Red=2122233, Ir=2122233) | ACC(X=-1.97831642627716, Y=-1.54960131645203, Z=9.49160766601562) | HR=0 bpm | IBI=0 ms | Participant=P13
37,HeartRate out of range,Row 37 | Timestamp: 1711604683064 ms | PPG(Green=2122515, Red=2122515, Ir=2122515) | ACC(X=-2.1172297000885, Y=-1.49691009521484, Z=9.57782936096191) | HR=0 bpm | IBI=0 ms | Participant=P13
38,HeartRate out of range,Row 38 | Timestamp: 1711604683104 ms | PPG(Green=2122925, Red=2122925, Ir=2122925) | ACC(X=-1.93041527271271, Y=-1.56157660484314, Z=9.57304000854492) | HR=0 bpm | IBI=0 ms | Participant=P13
39,HeartRate out of range,Row 39 | Timestamp: 1711604683144 ms | PPG(Green=2123065, Red=2123065, Ir=2123065) | ACC(X=-1.93281030654907, Y=-1.52804589271545, Z=9.57543468475342) | HR=0 bpm | IBI=0 ms | Participant=P13
40,HeartRate out of range,Row 40 | Timestamp: 1711604683184 ms | PPG(Green=2122297, Red=2122297, Ir=2122297) | ACC(X=-1.995081782341, Y=-1.55199646949768, Z=9.54669380187988) | HR=0 bpm | IBI=0 ms | Participant=P13
41,HeartRate out of range,Row 41 | Timestamp: 1711604683225 ms | PPG(Green=2121015, Red=2121015, Ir=2121015) | ACC(X=-1.89448940753937, Y=-1.57355189323425, Z=9.42694091796875) | HR=0 bpm | IBI=0 ms | Participant=P13
