RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 17 | Timestamp: 1712814160510 ms | PPG(Green=2152178, Red=2152178, Ir=2152178) | ACC(X=-1.34841668605804, Y=0.787973463535309, Z=9.74069309234619) | HR=81 bpm | IBI=688 ms | Participant=P23
Row 50 | Timestamp: 1712814161835 ms | PPG(Green=2172048, Red=2172048, Ir=2172048) | ACC(X=-1.51128041744232, Y=1.02987420558929, Z=9.69758224487305) | HR=87 bpm | IBI=556 ms | Participant=P23
Row 738 | Timestamp: 1712814189440 ms | PPG(Green=2293557, Red=2293557, Ir=2293557) | ACC(X=-2.60103106498718, Y=8.74435043334961, Z=4.16500282287598) | HR=86 bpm | IBI=596 ms | Participant=P23
Row 966 | Timestamp: 1712814198588 ms | PPG(Green=2335815, Red=2335815, Ir=2335815) | ACC(X=-1.45858919620514, Y=8.38748645782471, Z=4.31110095977783) | HR=96 bpm | IBI=645 ms | Participant=P23
Row 988 | Timestamp: 1712814199470 ms | PPG(Green=2326800, Red=2326800, Ir=2326800) | ACC(X=-2.68964815139771, Y=8.9120044708252, Z=3.51354742050171) | HR=88 bpm | IBI=670 ms | Participant=P23
Row 998 | Timestamp: 1712814199871 ms | PPG(Green=2331985, Red=2331985, Ir=2331985) | ACC(X=-2.88125252723694, Y=9.01499176025391, Z=3.40576982498169) | HR=87 bpm | IBI=435 ms | Participant=P23
Row 999 | Timestamp: 1712814199911 ms | PPG(Green=2331959, Red=2331959, Ir=2331959) | ACC(X=-2.54833984375, Y=9.16108989715576, Z=3.52073264122009) | HR=87 bpm | IBI=544 ms | Participant=P23
Row 1000 | Timestamp: 1712814199952 ms | PPG(Green=2327901, Red=2327901, Ir=2327901) | ACC(X=-1.77713167667389, Y=9.0102014541626, Z=4.5577917098999) | HR=87 bpm | IBI=722 ms | Participant=P23
Row 1001 | Timestamp: 1712814199991 ms | PPG(Green=2325387, Red=2325387, Ir=2325387) | ACC(X=5.70262861251831, Y=11.7740964889526, Z=4.45001459121704) | HR=85 bpm | IBI=657 ms | Participant=P23
Row 1002 | Timestamp: 1712814200031 ms | PPG(Green=2318065, Red=2318065, Ir=2318065) | ACC(X=0.749652564525604, Y=12.3656749725342, Z=3.69317674636841) | HR=84 bpm | IBI=702 ms | Participant=P23
Row 1027 | Timestamp: 1712814201034 ms | PPG(Green=2494845, Red=2494845, Ir=2494845) | ACC(X=8.85691738128662, Y=1.53523099422455, Z=-3.43211555480957) | HR=84 bpm | IBI=339 ms | Participant=P23
Row 1031 | Timestamp: 1712814201195 ms | PPG(Green=2498126, Red=2498126, Ir=2498126) | ACC(X=9.06049728393555, Y=3.86562061309815, Z=-2.53396940231323) | HR=84 bpm | IBI=477 ms | Participant=P23
Row 1683 | Timestamp: 1712814227356 ms | PPG(Green=2238214, Red=2238214, Ir=2238214) | ACC(X=10.9549865722656, Y=4.56018686294556, Z=6.05949211120605) | HR=89 bpm | IBI=744 ms | Participant=P23
Row 1935 | Timestamp: 1712814237465 ms | PPG(Green=2307893, Red=2307893, Ir=2307893) | ACC(X=-2.62977170944214, Y=8.7395601272583, Z=4.16260766983032) | HR=77 bpm | IBI=743 ms | Participant=P23
Row 2535 | Timestamp: 1712814261540 ms | PPG(Green=2332447, Red=2332447, Ir=2332447) | ACC(X=-2.74952459335327, Y=8.62938785552979, Z=4.28475570678711) | HR=80 bpm | IBI=729 ms | Participant=P23
Row 2539 | Timestamp: 1712814261700 ms | PPG(Green=2336540, Red=2336540, Ir=2336540) | ACC(X=-2.75670957565308, Y=8.59106636047363, Z=4.19613838195801) | HR=82 bpm | IBI=621 ms | Participant=P23
Row 2547 | Timestamp: 1712814262021 ms | PPG(Green=2330467, Red=2330467, Ir=2330467) | ACC(X=-2.7734751701355, Y=8.658127784729, Z=4.1841630935669) | HR=90 bpm | IBI=807 ms | Participant=P23
Row 2671 | Timestamp: 1712814266996 ms | PPG(Green=2276723, Red=2276723, Ir=2276723) | ACC(X=-2.79024052619934, Y=8.58627605438232, Z=4.19374322891235) | HR=77 bpm | IBI=747 ms | Participant=P23
Row 2672 | Timestamp: 1712814267036 ms | PPG(Green=2275762, Red=2275762, Ir=2275762) | ACC(X=-2.8189811706543, Y=8.64375782012939, Z=4.23685455322266) | HR=78 bpm | IBI=680 ms | Participant=P23
Row 2894 | Timestamp: 1712814275943 ms | PPG(Green=2308906, Red=2308906, Ir=2308906) | ACC(X=-2.68006777763367, Y=8.64375782012939, Z=3.95423769950867) | HR=93 bpm | IBI=779 ms | Participant=P23
Row 2895 | Timestamp: 1712814275983 ms | PPG(Green=2308512, Red=2308512, Ir=2308512) | ACC(X=-2.76628994941711, Y=8.66531372070313, Z=3.97100305557251) | HR=92 bpm | IBI=640 ms | Participant=P23
Row 2896 | Timestamp: 1712814276023 ms | PPG(Green=2308323, Red=2308323, Ir=2308323) | ACC(X=-2.7734751701355, Y=8.68926429748535, Z=4.05243492126465) | HR=91 bpm | IBI=644 ms | Participant=P23
Row 3213 | Timestamp: 1712814288741 ms | PPG(Green=2261981, Red=2261981, Ir=2261981) | ACC(X=-2.90280818939209, Y=8.7371654510498, Z=3.92549705505371) | HR=91 bpm | IBI=752 ms | Participant=P23
