value,timestamp
73.0,1710811953000000
78.0,1710811954000000
75.33,1710811955000000
71.25,1710811956000000
69.0,1710811957000000
67.67,1710811958000000
66.86,1710811959000000
66.25,1710811960000000
65.89,1710811961000000
66.2,1710811962000000
66.64,1710811963000000
67.33,1710811964000000
67.85,1710811965000000
68.43,1710811966000000
68.87,1710811967000000
69.25,1710811968000000
69.59,1710811969000000
69.89,1710811970000000
70.26,1710811971000000
70.65,1710811972000000
71.14,1710811973000000
71.64,1710811974000000
72.13,1710811975000000
72.46,1710811976000000
72.92,1710811977000000
73.35,1710811978000000
73.74,1710811979000000
74.11,1710811980000000
74.45,1710811981000000
74.83,1710811982000000
75.32,1710811983000000
75.81,1710811984000000
76.21,1710811985000000
76.59,1710811986000000
76.97,1710811987000000
77.33,1710811988000000
77.65,1710811989000000
77.92,1710811990000000
78.21,1710811991000000
78.47,1710811992000000
78.76,1710811993000000
79.02,1710811994000000
79.21,1710811995000000
79.41,1710811996000000
79.6,1710811997000000
79.78,1710811998000000
79.96,1710811999000000
80.15,1710812000000000
80.35,1710812001000000
80.54,1710812002000000
80.73,1710812003000000
80.9,1710812004000000
81.08,1710812005000000
81.24,1710812006000000
81.4,1710812007000000
81.55,1710812008000000
81.7,1710812009000000
81.84,1710812010000000
81.98,1710812011000000
82.12,1710812012000000
82.37,1710812013000000
82.4,1710812014000000
82.65,1710812015000000
83.25,1710812016000000
83.85,1710812017000000
84.43,1710812018000000
85.0,1710812019000000
85.58,1710812020000000
86.1,1710812021000000
86.47,1710812022000000
86.8,1710812023000000
87.03,1710812024000000
87.28,1710812025000000
87.5,1710812026000000
87.63,1710812027000000
87.77,1710812028000000
87.9,1710812029000000
88.03,1710812030000000
88.2,1710812031000000
88.33,1710812032000000
88.43,1710812033000000
88.55,1710812034000000
88.65,1710812035000000
88.82,1710812036000000
88.92,1710812037000000
88.95,1710812038000000
89.0,1710812039000000
89.05,1710812040000000
89.1,1710812041000000
89.1,1710812042000000
89.03,1710812043000000
88.95,1710812044000000
88.92,1710812045000000
88.87,1710812046000000
88.78,1710812047000000
88.68,1710812048000000
88.58,1710812049000000
88.5,1710812050000000
88.38,1710812051000000
88.25,1710812052000000
88.1,1710812053000000
87.95,1710812054000000
87.85,1710812055000000
87.72,1710812056000000
87.58,1710812057000000
87.43,1710812058000000
87.27,1710812059000000
87.08,1710812060000000
86.87,1710812061000000
86.65,1710812062000000
86.43,1710812063000000
86.22,1710812064000000
86.0,1710812065000000
85.8,1710812066000000
85.62,1710812067000000
85.43,1710812068000000
85.23,1710812069000000
85.03,1710812070000000
84.83,1710812071000000
84.65,1710812072000000
84.48,1710812073000000
84.35,1710812074000000
84.2,1710812075000000
83.88,1710812076000000
83.53,1710812077000000
83.18,1710812078000000
82.82,1710812079000000
82.42,1710812080000000
82.07,1710812081000000
81.75,1710812082000000
81.45,1710812083000000
81.18,1710812084000000
80.93,1710812085000000
80.72,1710812086000000
80.58,1710812087000000
80.47,1710812088000000
80.35,1710812089000000
80.22,1710812090000000
80.03,1710812091000000
79.88,1710812092000000
79.7,1710812093000000
79.47,1710812094000000
79.22,1710812095000000
78.95,1710812096000000
78.67,1710812097000000
78.45,1710812098000000
78.22,1710812099000000
77.98,1710812100000000
77.73,1710812101000000
77.5,1710812102000000
77.25,1710812103000000
77.02,1710812104000000
76.77,1710812105000000
76.55,1710812106000000
76.35,1710812107000000
76.17,1710812108000000
76.0,1710812109000000
75.83,1710812110000000
75.68,1710812111000000
75.57,1710812112000000
75.45,1710812113000000
75.33,1710812114000000
75.22,1710812115000000
75.13,1710812116000000
75.05,1710812117000000
74.98,1710812118000000
74.95,1710812119000000
74.92,1710812120000000
74.9,1710812121000000
74.88,1710812122000000
74.87,1710812123000000
74.85,1710812124000000
74.83,1710812125000000
74.8,1710812126000000
74.73,1710812127000000
74.67,1710812128000000
74.62,1710812129000000
74.57,1710812130000000
74.52,1710812131000000
74.47,1710812132000000
74.42,1710812133000000
74.38,1710812134000000
