value,timestamp
83.0,1712189750000000
78.0,1712189751000000
76.67,1712189752000000
76.75,1712189753000000
77.0,1712189754000000
78.5,1712189755000000
80.0,1712189756000000
81.25,1712189757000000
82.22,1712189758000000
83.0,1712189759000000
83.64,1712189760000000
84.17,1712189761000000
84.62,1712189762000000
85.07,1712189763000000
85.47,1712189764000000
85.81,1712189765000000
86.12,1712189766000000
86.39,1712189767000000
86.58,1712189768000000
86.75,1712189769000000
86.9,1712189770000000
87.0,1712189771000000
87.09,1712189772000000
87.12,1712189773000000
87.16,1712189774000000
87.19,1712189775000000
87.22,1712189776000000
87.25,1712189777000000
87.28,1712189778000000
87.3,1712189779000000
87.29,1712189780000000
87.28,1712189781000000
87.24,1712189782000000
87.21,1712189783000000
87.14,1712189784000000
87.06,1712189785000000
86.97,1712189786000000
86.89,1712189787000000
86.85,1712189788000000
86.85,1712189789000000
86.9,1712189790000000
86.98,1712189791000000
87.05,1712189792000000
87.14,1712189793000000
87.24,1712189794000000
87.37,1712189795000000
87.55,1712189796000000
87.73,1712189797000000
87.88,1712189798000000
88.02,1712189799000000
88.14,1712189800000000
88.25,1712189801000000
88.38,1712189802000000
88.48,1712189803000000
88.56,1712189804000000
88.61,1712189805000000
88.67,1712189806000000
88.71,1712189807000000
88.75,1712189808000000
88.83,1712189809000000
89.12,1712189810000000
89.57,1712189811000000
89.98,1712189812000000
90.3,1712189813000000
90.6,1712189814000000
90.77,1712189815000000
90.78,1712189816000000
90.8,1712189817000000
90.8,1712189818000000
90.8,1712189819000000
90.77,1712189820000000
90.73,1712189821000000
90.7,1712189822000000
90.65,1712189823000000
90.6,1712189824000000
90.55,1712189825000000
90.48,1712189826000000
90.42,1712189827000000
90.35,1712189828000000
90.28,1712189829000000
90.22,1712189830000000
90.17,1712189831000000
90.13,1712189832000000
90.12,1712189833000000
90.1,1712189834000000
90.07,1712189835000000
90.05,1712189836000000
90.05,1712189837000000
90.05,1712189838000000
90.05,1712189839000000
90.07,1712189840000000
90.07,1712189841000000
90.1,1712189842000000
90.1,1712189843000000
90.08,1712189844000000
90.12,1712189845000000
90.13,1712189846000000
90.15,1712189847000000
90.15,1712189848000000
90.12,1712189849000000
90.05,1712189850000000
89.97,1712189851000000
89.9,1712189852000000
89.83,1712189853000000
89.73,1712189854000000
89.62,1712189855000000
89.45,1712189856000000
89.28,1712189857000000
89.15,1712189858000000
89.02,1712189859000000
88.88,1712189860000000
88.77,1712189861000000
88.63,1712189862000000
88.53,1712189863000000
88.45,1712189864000000
88.38,1712189865000000
88.32,1712189866000000
88.27,1712189867000000
88.25,1712189868000000
88.18,1712189869000000
88.02,1712189870000000
87.85,1712189871000000
87.7,1712189872000000
87.6,1712189873000000
87.5,1712189874000000
87.4,1712189875000000
87.4,1712189876000000
87.4,1712189877000000
87.42,1712189878000000
87.43,1712189879000000
87.48,1712189880000000
87.53,1712189881000000
87.58,1712189882000000
87.63,1712189883000000
87.68,1712189884000000
87.72,1712189885000000
87.77,1712189886000000
87.82,1712189887000000
87.88,1712189888000000
87.97,1712189889000000
88.05,1712189890000000
88.15,1712189891000000
88.25,1712189892000000
88.38,1712189893000000
88.52,1712189894000000
88.65,1712189895000000
88.77,1712189896000000
88.85,1712189897000000
88.92,1712189898000000
88.97,1712189899000000
89.02,1712189900000000
89.07,1712189901000000
89.1,1712189902000000
89.17,1712189903000000
89.27,1712189904000000
89.33,1712189905000000
89.42,1712189906000000
89.5,1712189907000000
89.6,1712189908000000
89.68,1712189909000000
89.77,1712189910000000
89.85,1712189911000000
89.92,1712189912000000
89.98,1712189913000000
90.07,1712189914000000
90.17,1712189915000000
90.25,1712189916000000
90.35,1712189917000000
90.43,1712189918000000
90.5,1712189919000000
90.57,1712189920000000
90.62,1712189921000000
90.67,1712189922000000
90.68,1712189923000000
90.72,1712189924000000
90.77,1712189925000000
90.8,1712189926000000
90.83,1712189927000000
90.85,1712189928000000
90.87,1712189929000000
90.87,1712189930000000
90.87,1712189931000000
90.85,1712189932000000
90.83,1712189933000000
90.82,1712189934000000
90.78,1712189935000000
90.77,1712189936000000
90.73,1712189937000000
90.7,1712189938000000
90.68,1712189939000000
90.67,1712189940000000
90.65,1712189941000000
90.63,1712189942000000
90.62,1712189943000000
90.6,1712189944000000
90.6,1712189945000000
90.6,1712189946000000
90.58,1712189947000000
90.52,1712189948000000
90.42,1712189949000000
90.28,1712189950000000
90.12,1712189951000000
89.92,1712189952000000
89.68,1712189953000000
89.45,1712189954000000
89.23,1712189955000000
89.02,1712189956000000
88.83,1712189957000000
88.67,1712189958000000
88.53,1712189959000000
88.42,1712189960000000
88.33,1712189961000000
88.25,1712189962000000
88.17,1712189963000000
88.08,1712189964000000
88.02,1712189965000000
87.95,1712189966000000
87.88,1712189967000000
87.82,1712189968000000
87.77,1712189969000000
87.72,1712189970000000
87.67,1712189971000000
87.63,1712189972000000
87.6,1712189973000000
87.57,1712189974000000
87.53,1712189975000000
87.52,1712189976000000
87.48,1712189977000000
87.45,1712189978000000
87.43,1712189979000000
87.43,1712189980000000
87.42,1712189981000000
87.42,1712189982000000
87.42,1712189983000000
87.42,1712189984000000
87.4,1712189985000000
87.4,1712189986000000
87.4,1712189987000000
87.38,1712189988000000
87.37,1712189989000000
87.37,1712189990000000
87.38,1712189991000000
87.43,1712189992000000
87.48,1712189993000000
87.53,1712189994000000
87.6,1712189995000000
87.65,1712189996000000
87.7,1712189997000000
87.75,1712189998000000
87.78,1712189999000000
87.82,1712190000000000
87.85,1712190001000000
87.88,1712190002000000
87.92,1712190003000000
87.95,1712190004000000
87.98,1712190005000000
88.02,1712190006000000
88.07,1712190007000000
88.17,1712190008000000
88.28,1712190009000000
88.43,1712190010000000
88.6,1712190011000000
88.78,1712190012000000
88.97,1712190013000000
89.15,1712190014000000
89.32,1712190015000000
89.48,1712190016000000
89.63,1712190017000000
89.8,1712190018000000
89.93,1712190019000000
90.05,1712190020000000
90.15,1712190021000000
90.25,1712190022000000
90.33,1712190023000000
90.42,1712190024000000
90.48,1712190025000000
90.55,1712190026000000
90.62,1712190027000000
90.67,1712190028000000
90.73,1712190029000000
90.8,1712190030000000
90.88,1712190031000000
90.95,1712190032000000
91.0,1712190033000000
91.03,1712190034000000
91.03,1712190035000000
91.03,1712190036000000
91.03,1712190037000000
91.02,1712190038000000
91.0,1712190039000000
90.97,1712190040000000
90.95,1712190041000000
90.92,1712190042000000
90.9,1712190043000000
90.87,1712190044000000
90.85,1712190045000000
90.83,1712190046000000
90.82,1712190047000000
90.82,1712190048000000
90.82,1712190049000000
90.83,1712190050000000
