timestamp,duration
1712814184265625,718750
1712814184984375,718750
1712814185718750,734375
1712814186500000,781250
1712814187281250,781250
1712814188078125,796875
1712814188859375,781250
1712814189656250,796875
1712814190484375,828125
1712814191250000,765625
1712814192015625,765625
1712814192781250,765625
1712814193546875,765625
1712814194265625,718750
1712814194953125,687500
1712814195640625,687500
1712814196375000,734375
1712814197046875,671875
1712814197734375,687500
1712814198406250,671875
1712814199062500,656250
1712814199734375,671875
1712814200343750,609375
1712814204015625,625000
1712814204656250,640625
1712814205328125,671875
1712814212015625,656250
1712814212703125,687500
1712814213406250,703125
1712814214125000,718750
1712814214843750,718750
1712814215500000,656250
1712814216171875,671875
1712814216843750,671875
1712814217531250,687500
1712814218203125,671875
1712814218875000,671875
1712814219531250,656250
1712814220187500,656250
1712814220906250,718750
1712814221703125,796875
1712814222484375,781250
1712814223203125,718750
1712814223937500,734375
1712814224640625,703125
1712814225312500,671875
1712814234625000,671875
1712814235328125,703125
1712814236031250,703125
1712814236718750,687500
1712814237359375,640625
1712814238015625,656250
1712814238671875,656250
1712814239359375,687500
1712814240046875,687500
1712814240765625,718750
1712814241484375,718750
1712814242156250,671875
1712814242859375,703125
1712814243578125,718750
1712814244343750,765625
1712814245062500,718750
1712814245812500,750000
1712814246484375,671875
1712814247156250,671875
1712814247828125,671875
1712814248515625,687500
1712814249234375,718750
1712814249984375,750000
1712814250750000,765625
1712814251531250,781250
1712814252265625,734375
1712814252968750,703125
1712814253656250,687500
1712814254328125,671875
1712814255046875,718750
1712814255828125,781250
1712814256671875,843750
1712814257546875,875000
1712814258437500,890625
1712814259281250,843750
1712814260078125,796875
1712814260890625,812500
1712814261765625,875000
1712814262640625,875000
1712814263500000,859375
1712814264343750,843750
1712814265140625,796875
1712814265906250,765625
1712814266640625,734375
1712814267343750,703125
1712814268046875,703125
1712814268812500,765625
1712814269640625,828125
1712814270484375,843750
1712814271359375,875000
1712814272203125,843750
1712814273031250,828125
1712814273828125,796875
1712814274562500,734375
1712814275265625,703125
1712814275968750,703125
1712814276703125,734375
1712814277515625,812500
1712814278375000,859375
1712814279265625,890625
1712814280156250,890625
1712814281046875,890625
1712814281937500,890625
1712814282765625,828125
1712814283500000,734375
1712814284234375,734375
1712814284968750,734375
1712814285765625,796875
1712814286640625,875000
1712814287515625,875000
1712814288390625,875000
1712814289250000,859375
1712814290140625,890625
1712814290984375,843750
1712814291734375,750000
1712814292468750,734375
1712814293187500,718750
1712814293968750,781250
1712814294812500,843750
1712814295703125,890625
1712814296593750,890625
1712814297437500,843750
1712814298234375,796875
1712814298984375,750000
