value,timestamp
31.73,1712124672000000
31.73,1712124672250000
31.73,1712124672500000
31.73,1712124672750000
31.73,1712124673000000
31.73,1712124673250000
31.73,1712124673500000
31.73,1712124673750000
31.73,1712124674000000
31.73,1712124674250000
31.73,1712124674500000
31.73,1712124674750000
31.73,1712124675000000
31.73,1712124675250000
31.73,1712124675500000
31.73,1712124675750000
31.75,1712124676000000
31.75,1712124676250000
31.75,1712124676500000
31.75,1712124676750000
31.75,1712124677000000
31.75,1712124677250000
31.75,1712124677500000
31.75,1712124677750000
31.75,1712124678000000
31.75,1712124678250000
31.75,1712124678500000
31.75,1712124678750000
31.79,1712124679000000
31.79,1712124679250000
31.79,1712124679500000
31.79,1712124679750000
31.77,1712124680000000
31.77,1712124680250000
31.77,1712124680500000
31.77,1712124680750000
31.77,1712124681000000
31.77,1712124681250000
31.77,1712124681500000
31.77,1712124681750000
31.77,1712124682000000
31.77,1712124682250000
31.77,1712124682500000
31.77,1712124682750000
31.79,1712124683000000
31.79,1712124683250000
31.79,1712124683500000
31.79,1712124683750000
31.79,1712124684000000
31.79,1712124684250000
31.79,1712124684500000
31.79,1712124684750000
31.79,1712124685000000
31.79,1712124685250000
31.79,1712124685500000
31.79,1712124685750000
31.81,1712124686000000
31.81,1712124686250000
31.81,1712124686500000
31.81,1712124686750000
31.79,1712124687000000
31.79,1712124687250000
31.79,1712124687500000
31.79,1712124687750000
31.83,1712124688000000
31.83,1712124688250000
31.83,1712124688500000
31.83,1712124688750000
31.81,1712124689000000
31.81,1712124689250000
31.81,1712124689500000
31.81,1712124689750000
31.83,1712124690000000
31.83,1712124690250000
31.83,1712124690500000
31.83,1712124690750000
31.81,1712124691000000
31.81,1712124691250000
31.81,1712124691500000
31.81,1712124691750000
31.83,1712124692000000
31.83,1712124692250000
31.83,1712124692500000
31.83,1712124692750000
31.83,1712124693000000
31.83,1712124693250000
31.83,1712124693500000
31.83,1712124693750000
31.81,1712124694000000
31.81,1712124694250000
31.81,1712124694500000
31.81,1712124694750000
31.83,1712124695000000
31.83,1712124695250000
31.83,1712124695500000
31.83,1712124695750000
31.83,1712124696000000
31.83,1712124696250000
31.83,1712124696500000
31.83,1712124696750000
31.83,1712124697000000
31.83,1712124697250000
31.83,1712124697500000
31.83,1712124697750000
31.85,1712124698000000
31.85,1712124698250000
31.85,1712124698500000
31.85,1712124698750000
31.85,1712124699000000
31.85,1712124699250000
31.85,1712124699500000
31.85,1712124699750000
31.85,1712124700000000
31.85,1712124700250000
31.85,1712124700500000
31.85,1712124700750000
31.87,1712124701000000
31.87,1712124701250000
31.87,1712124701500000
31.87,1712124701750000
31.87,1712124702000000
31.87,1712124702250000
31.87,1712124702500000
31.87,1712124702750000
31.87,1712124703000000
31.87,1712124703250000
31.87,1712124703500000
31.87,1712124703750000
31.89,1712124704000000
31.89,1712124704250000
31.89,1712124704500000
31.89,1712124704750000
31.89,1712124705000000
31.89,1712124705250000
31.89,1712124705500000
31.89,1712124705750000
31.91,1712124706000000
31.91,1712124706250000
31.91,1712124706500000
31.91,1712124706750000
31.89,1712124707000000
31.89,1712124707250000
31.89,1712124707500000
31.89,1712124707750000
31.93,1712124708000000
31.93,1712124708250000
31.93,1712124708500000
31.93,1712124708750000
31.93,1712124709000000
31.93,1712124709250000
31.93,1712124709500000
31.93,1712124709750000
31.93,1712124710000000
31.93,1712124710250000
31.93,1712124710500000
31.93,1712124710750000
31.95,1712124711000000
31.95,1712124711250000
31.95,1712124711500000
31.95,1712124711750000
31.95,1712124712000000
31.95,1712124712250000
31.95,1712124712500000
31.95,1712124712750000
31.97,1712124713000000
31.97,1712124713250000
31.97,1712124713500000
31.97,1712124713750000
31.99,1712124714000000
31.99,1712124714250000
31.99,1712124714500000
31.99,1712124714750000
32.0,1712124715000000
32.0,1712124715250000
32.0,1712124715500000
32.0,1712124715750000
32.0,1712124716000000
32.0,1712124716250000
32.0,1712124716500000
32.0,1712124716750000
32.03,1712124717000000
32.03,1712124717250000
32.03,1712124717500000
32.03,1712124717750000
