value,timestamp
49.0,1712016410000000
62.5,1712016411000000
58.0,1712016412000000
60.75,1712016413000000
63.2,1712016414000000
65.33,1712016415000000
68.14,1712016416000000
70.12,1712016417000000
71.67,1712016418000000
73.4,1712016419000000
74.09,1712016420000000
74.5,1712016421000000
74.77,1712016422000000
74.93,1712016423000000
74.93,1712016424000000
74.88,1712016425000000
74.82,1712016426000000
74.72,1712016427000000
74.68,1712016428000000
74.65,1712016429000000
74.67,1712016430000000
74.68,1712016431000000
74.7,1712016432000000
74.71,1712016433000000
74.72,1712016434000000
74.69,1712016435000000
74.63,1712016436000000
74.57,1712016437000000
74.48,1712016438000000
74.4,1712016439000000
74.29,1712016440000000
74.16,1712016441000000
74.12,1712016442000000
74.06,1712016443000000
74.09,1712016444000000
74.11,1712016445000000
74.16,1712016446000000
74.21,1712016447000000
74.28,1712016448000000
74.38,1712016449000000
74.46,1712016450000000
74.52,1712016451000000
74.6,1712016452000000
74.66,1712016453000000
74.78,1712016454000000
74.87,1712016455000000
74.94,1712016456000000
74.98,1712016457000000
75.0,1712016458000000
75.02,1712016459000000
75.1,1712016460000000
75.37,1712016461000000
75.6,1712016462000000
75.83,1712016463000000
75.98,1712016464000000
76.16,1712016465000000
76.33,1712016466000000
76.47,1712016467000000
76.58,1712016468000000
76.7,1712016469000000
77.23,1712016470000000
77.32,1712016471000000
77.87,1712016472000000
78.07,1712016473000000
78.18,1712016474000000
78.23,1712016475000000
78.13,1712016476000000
78.03,1712016477000000
77.93,1712016478000000
77.75,1712016479000000
77.68,1712016480000000
77.63,1712016481000000
77.6,1712016482000000
77.6,1712016483000000
77.63,1712016484000000
77.7,1712016485000000
77.77,1712016486000000
77.85,1712016487000000
77.93,1712016488000000
78.02,1712016489000000
78.08,1712016490000000
78.18,1712016491000000
78.3,1712016492000000
78.45,1712016493000000
78.6,1712016494000000
78.78,1712016495000000
79.02,1712016496000000
79.27,1712016497000000
79.55,1712016498000000
79.83,1712016499000000
80.17,1712016500000000
80.53,1712016501000000
80.88,1712016502000000
81.23,1712016503000000
81.58,1712016504000000
81.77,1712016505000000
81.92,1712016506000000
81.88,1712016507000000
81.83,1712016508000000
81.75,1712016509000000
81.7,1712016510000000
81.6,1712016511000000
81.53,1712016512000000
81.5,1712016513000000
81.47,1712016514000000
81.45,1712016515000000
81.48,1712016516000000
81.5,1712016517000000
81.55,1712016518000000
81.75,1712016519000000
81.88,1712016520000000
81.83,1712016521000000
81.8,1712016522000000
81.77,1712016523000000
81.82,1712016524000000
81.83,1712016525000000
81.88,1712016526000000
81.97,1712016527000000
82.08,1712016528000000
82.18,1712016529000000
82.35,1712016530000000
82.55,1712016531000000
82.73,1712016532000000
82.93,1712016533000000
83.15,1712016534000000
83.35,1712016535000000
83.55,1712016536000000
83.75,1712016537000000
83.92,1712016538000000
84.05,1712016539000000
84.2,1712016540000000
84.35,1712016541000000
84.5,1712016542000000
84.65,1712016543000000
84.82,1712016544000000
84.97,1712016545000000
85.13,1712016546000000
85.3,1712016547000000
85.48,1712016548000000
85.67,1712016549000000
85.85,1712016550000000
86.02,1712016551000000
86.17,1712016552000000
86.28,1712016553000000
86.4,1712016554000000
86.48,1712016555000000
86.5,1712016556000000
86.47,1712016557000000
86.38,1712016558000000
86.28,1712016559000000
86.13,1712016560000000
85.95,1712016561000000
85.73,1712016562000000
85.55,1712016563000000
85.32,1712016564000000
85.25,1712016565000000
85.2,1712016566000000
85.35,1712016567000000
85.5,1712016568000000
85.67,1712016569000000
85.8,1712016570000000
86.02,1712016571000000
86.15,1712016572000000
86.28,1712016573000000
86.38,1712016574000000
86.5,1712016575000000
86.6,1712016576000000
86.75,1712016577000000
86.88,1712016578000000
86.87,1712016579000000
86.85,1712016580000000
86.85,1712016581000000
86.85,1712016582000000
86.97,1712016583000000
87.07,1712016584000000
87.2,1712016585000000
87.28,1712016586000000
87.27,1712016587000000
87.32,1712016588000000
87.37,1712016589000000
87.4,1712016590000000
87.4,1712016591000000
87.38,1712016592000000
87.35,1712016593000000
87.3,1712016594000000
87.13,1712016595000000
87.1,1712016596000000
87.1,1712016597000000
87.15,1712016598000000
87.25,1712016599000000
87.35,1712016600000000
87.37,1712016601000000
87.43,1712016602000000
87.48,1712016603000000
87.48,1712016604000000
87.48,1712016605000000
87.45,1712016606000000
87.4,1712016607000000
87.32,1712016608000000
87.22,1712016609000000
87.13,1712016610000000
87.03,1712016611000000
86.95,1712016612000000
86.87,1712016613000000
86.78,1712016614000000
86.7,1712016615000000
86.63,1712016616000000
86.6,1712016617000000
86.62,1712016618000000
86.65,1712016619000000
86.7,1712016620000000
86.77,1712016621000000
86.83,1712016622000000
86.9,1712016623000000
86.97,1712016624000000
87.05,1712016625000000
87.13,1712016626000000
87.2,1712016627000000
87.27,1712016628000000
87.35,1712016629000000
87.4,1712016630000000
87.43,1712016631000000
87.52,1712016632000000
87.62,1712016633000000
87.72,1712016634000000
87.82,1712016635000000
87.93,1712016636000000
88.05,1712016637000000
88.18,1712016638000000
88.32,1712016639000000
88.45,1712016640000000
88.55,1712016641000000
88.62,1712016642000000
88.65,1712016643000000
88.65,1712016644000000
88.45,1712016645000000
88.27,1712016646000000
88.15,1712016647000000
87.95,1712016648000000
87.73,1712016649000000
87.5,1712016650000000
87.27,1712016651000000
87.05,1712016652000000
86.85,1712016653000000
86.67,1712016654000000
86.63,1712016655000000
86.48,1712016656000000
86.32,1712016657000000
86.13,1712016658000000
85.95,1712016659000000
85.77,1712016660000000
85.7,1712016661000000
85.58,1712016662000000
85.45,1712016663000000
85.35,1712016664000000
85.25,1712016665000000
85.18,1712016666000000
85.17,1712016667000000
85.13,1712016668000000
85.15,1712016669000000
85.12,1712016670000000
85.12,1712016671000000
85.1,1712016672000000
85.08,1712016673000000
85.07,1712016674000000
85.03,1712016675000000
85.0,1712016676000000
84.95,1712016677000000
84.87,1712016678000000
84.8,1712016679000000
84.72,1712016680000000
84.63,1712016681000000
84.55,1712016682000000
84.45,1712016683000000
84.37,1712016684000000
84.27,1712016685000000
84.18,1712016686000000
84.1,1712016687000000
84.02,1712016688000000
83.93,1712016689000000
83.9,1712016690000000
83.87,1712016691000000
83.83,1712016692000000
83.77,1712016693000000
83.68,1712016694000000
83.58,1712016695000000
83.45,1712016696000000
83.3,1712016697000000
83.13,1712016698000000
82.98,1712016699000000
82.83,1712016700000000
82.73,1712016701000000
82.73,1712016702000000
82.58,1712016703000000
82.57,1712016704000000
82.82,1712016705000000
83.07,1712016706000000
83.22,1712016707000000
83.37,1712016708000000
